region,equidsNumberImport
AG,419
AI,0
AR,6
BE,514
BL,100
BS,0
FR,197
GE,142
GL,0
GR,77
JU,13
LU,178
NE,33
NW,0
OW,0
SG,225
SH,21
SO,130
SZ,40
TG,221
TI,120
UR,0
VD,339
VS,61
ZG,13
ZH,660
CH,3515
