region,equidsNumberImport
AG,434
AI,0
AR,0
BE,629
BL,73
BS,0
FR,251
GE,99
GL,9
GR,100
JU,30
LU,151
NE,22
NW,0
OW,0
SG,212
SH,53
SO,122
SZ,50
TG,282
TI,154
UR,0
VD,481
VS,78
ZG,42
ZH,651
CH,3923
