region,equidsNumberImport
AG,368
AI,0
AR,0
BE,603
BL,93
BS,0
FR,183
GE,116
GL,0
GR,97
JU,25
LU,204
NE,39
NW,0
OW,0
SG,221
SH,41
SO,143
SZ,26
TG,252
TI,105
UR,0
VD,384
VS,74
ZG,28
ZH,587
CH,3589
