region,equidsNumberImport
AG,398
AI,0
AR,0
BE,528
BL,89
BS,0
FR,195
GE,158
GL,0
GR,89
JU,47
LU,183
NE,37
NW,0
OW,0
SG,197
SH,58
SO,148
SZ,16
TG,241
TI,155
UR,0
VD,281
VS,80
ZG,38
ZH,675
CH,3613
