region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,565764,488081,0.006,12066,0.101,29033,0.066,1035,0.342,30186,0.065,9045,0.126,19654,0.084,23320,0.081,7938,0.130,9037,0.126,33521,0.064
AI,13353,12616,0.028,NaN,NaN,212,0.792,NaN,NaN,638,0.462,NaN,NaN,195,0.865,NaN,NaN,177,0.871,NaN,NaN,365,0.607
AR,45961,42230,0.016,382,0.584,1167,0.331,NaN,NaN,1748,0.271,723,0.446,1596,0.290,499,0.568,322,0.647,255,0.799,1680,0.292
BE,866007,723378,0.005,96409,0.033,28884,0.063,780,0.375,40384,0.053,14094,0.097,13019,0.098,17819,0.088,14343,0.090,6584,0.142,48009,0.051
BL,242458,209687,0.009,8787,0.117,13258,0.096,290,0.644,16727,0.086,3260,0.208,5054,0.167,4660,0.186,4225,0.176,5662,0.161,15486,0.093
BS,163051,123699,0.017,9552,0.117,9373,0.121,243,0.807,19961,0.081,3935,0.205,5275,0.166,5270,0.170,5715,0.161,5862,0.159,15752,0.095
FR,259778,70332,0.035,178881,0.015,6052,0.143,NaN,NaN,9413,0.115,20919,0.079,2222,0.250,6196,0.157,5369,0.156,2020,0.270,10273,0.114
GE,385289,17406,0.058,307899,0.007,25527,0.049,209,0.581,48204,0.036,36214,0.043,3713,0.134,8789,0.093,30967,0.046,2350,0.174,34066,0.045
GL,33924,29379,0.025,346,0.658,1884,0.272,NaN,NaN,1176,0.351,943,0.400,682,0.475,1394,0.347,481,0.539,543,0.567,1553,0.318
GR,169268,125948,0.016,3019,0.200,23424,0.069,26091,0.063,6169,0.144,7368,0.137,3357,0.200,1341,0.341,1498,0.293,519,0.543,6897,0.140
JU,61140,3887,0.170,55411,0.015,1751,0.264,NaN,NaN,1380,0.313,1633,0.301,352,0.618,898,0.392,1841,0.273,342,0.666,1441,0.298
LU,339232,300063,0.005,5838,0.104,10401,0.079,523,0.337,16082,0.065,7426,0.101,10977,0.081,11729,0.081,4518,0.127,1708,0.209,17696,0.067
NE,146334,7166,0.088,128456,0.008,8475,0.082,101,0.777,6223,0.099,12889,0.068,1824,0.186,1968,0.184,4038,0.123,996,0.253,6541,0.101
NW,36682,33566,0.018,442,0.497,882,0.371,NaN,NaN,2022,0.234,629,0.454,869,0.377,398,0.583,653,0.431,NaN,NaN,1118,0.339
OW,31548,28804,0.019,246,0.683,464,0.515,NaN,NaN,1563,0.281,964,0.368,555,0.483,587,0.484,262,0.682,NaN,NaN,1117,0.344
SG,422600,370180,0.007,5073,0.157,14307,0.094,1226,0.318,17407,0.086,5363,0.161,17172,0.088,18152,0.089,5177,0.159,4934,0.168,23239,0.077
SH,69088,60424,0.017,815,0.387,3116,0.206,NaN,NaN,3874,0.179,654,0.470,3053,0.213,2128,0.272,878,0.380,1069,0.368,4443,0.177
SO,230273,202648,0.009,5959,0.143,10914,0.105,171,0.880,9910,0.115,2534,0.240,5648,0.164,8614,0.140,3354,0.196,5162,0.173,13176,0.103
SZ,133326,119088,0.011,2794,0.208,4612,0.164,395,0.559,9306,0.115,1806,0.277,4136,0.186,2882,0.234,1754,0.268,725,0.448,6373,0.143
TG,230783,205744,0.008,2985,0.205,9244,0.116,302,0.644,8426,0.122,4745,0.169,5699,0.152,9264,0.121,2497,0.226,2617,0.224,11557,0.106
TI,300912,32183,0.041,15209,0.061,264604,0.005,338,0.426,11678,0.072,8064,0.089,7886,0.088,3275,0.143,6903,0.094,1151,0.233,10748,0.076
UR,30246,27912,0.020,288,0.644,1039,0.337,NaN,NaN,746,0.399,768,0.412,551,0.467,273,0.689,251,0.687,285,0.684,779,0.392
VD,652435,38398,0.037,537068,0.004,35300,0.040,288,0.466,59460,0.031,54140,0.034,11130,0.077,15024,0.068,26222,0.048,3594,0.137,44526,0.038
VS,287519,71978,0.036,192742,0.015,12694,0.099,NaN,NaN,11998,0.103,22869,0.075,4453,0.171,4451,0.177,5059,0.161,641,0.457,10196,0.117
ZG,105326,85092,0.011,3769,0.124,4249,0.118,243,0.476,13322,0.066,2283,0.172,3595,0.133,1663,0.208,2432,0.160,1124,0.243,8402,0.087
ZH,1261771,1024114,0.005,43263,0.054,73246,0.042,3849,0.182,119421,0.032,32060,0.067,37514,0.060,44056,0.058,36178,0.061,17830,0.089,104954,0.036
CH,7084068,4454003,0.002,1617735,0.004,594115,0.010,36707,0.054,467423,0.015,255356,0.020,170180,0.027,194742,0.026,173054,0.024,75159,0.042,433908,0.016
