region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,571882,0.8635,0.006,0.0198,0.104,0.0507,0.065,0.0014,0.387,0.0551,0.063,0.0177,0.118,0.0351,0.081,0.0414,0.077,0.0144,0.127,0.0161,0.12,0.0599,0.062
AI,13270,0.9491,0.028,NaN,NaN,0.0154,0.728,NaN,NaN,0.0326,0.537,0.0148,0.788,0.0115,0.865,NaN,NaN,0.0112,0.866,NaN,NaN,0.0267,0.617
AR,45950,0.9079,0.017,0.0112,0.518,0.0225,0.368,NaN,NaN,0.0465,0.253,0.0104,0.558,0.0383,0.28,0.0116,0.541,0.0133,0.468,0.0094,0.589,0.0485,0.264
BE,868970,0.8368,0.005,0.1098,0.033,0.0315,0.064,0.0009,0.356,0.0441,0.053,0.0168,0.094,0.0148,0.096,0.0196,0.088,0.0173,0.086,0.0073,0.14,0.0571,0.049
BL,243491,0.8618,0.009,0.0325,0.123,0.0552,0.095,0.0011,0.683,0.067,0.086,0.0102,0.236,0.0231,0.153,0.0241,0.159,0.0196,0.163,0.0242,0.152,0.0607,0.092
BS,162990,0.7682,0.016,0.0504,0.128,0.0615,0.114,0.0016,0.688,0.1211,0.08,0.0223,0.204,0.0304,0.173,0.0352,0.17,0.0402,0.147,0.0374,0.16,0.0956,0.094
FR,262654,0.2606,0.036,0.6904,0.015,0.0241,0.138,0.0006,0.864,0.0389,0.111,0.0775,0.08,0.008,0.253,0.0203,0.169,0.0185,0.163,0.0074,0.273,0.0451,0.105
GE,389107,0.0401,0.062,0.7964,0.007,0.064,0.05,0.0008,0.463,0.1216,0.037,0.094,0.043,0.0088,0.144,0.0231,0.094,0.075,0.048,0.0062,0.171,0.0898,0.044
GL,33983,0.8647,0.024,0.0122,0.558,0.0548,0.255,0.006,0.789,0.04,0.31,0.0288,0.376,0.0289,0.369,0.0401,0.31,0.0136,0.537,0.0114,0.589,0.0534,0.279
GR,170045,0.7524,0.016,0.0135,0.232,0.1323,0.071,0.1471,0.065,0.0342,0.15,0.0439,0.136,0.0156,0.222,0.0077,0.329,0.01,0.279,0.0021,0.617,0.0411,0.138
JU,61370,0.0745,0.157,0.8975,0.016,0.0252,0.272,NaN,NaN,0.023,0.306,0.0234,0.309,0.0071,0.565,0.0169,0.369,0.0222,0.307,0.0032,0.794,0.0354,0.256
LU,342001,0.8861,0.005,0.0163,0.104,0.0333,0.073,0.002,0.304,0.0459,0.063,0.0224,0.095,0.0305,0.08,0.037,0.075,0.0153,0.111,0.0056,0.195,0.0538,0.06
NE,146440,0.0472,0.09,0.8772,0.008,0.0568,0.083,NaN,NaN,0.0462,0.095,0.0777,0.073,0.0112,0.201,0.013,0.196,0.0286,0.12,0.0067,0.27,0.0468,0.096
NW,36616,0.9063,0.019,0.0164,0.442,0.0323,0.325,NaN,NaN,0.0542,0.25,0.0237,0.402,0.0183,0.433,0.0142,0.53,0.0062,0.805,NaN,NaN,0.0388,0.295
OW,31675,0.9201,0.02,0.0147,0.516,0.0122,0.559,0.0056,0.871,0.0348,0.339,0.0282,0.394,0.0087,0.642,0.0151,0.537,NaN,NaN,0.0073,0.735,0.0358,0.347
SG,424721,0.8766,0.006,0.0128,0.152,0.0353,0.092,0.0036,0.279,0.0412,0.085,0.0153,0.146,0.039,0.088,0.0476,0.081,0.0123,0.157,0.0093,0.182,0.056,0.074
SH,69345,0.868,0.017,0.0177,0.316,0.0388,0.212,NaN,NaN,0.0519,0.182,0.0138,0.371,0.0369,0.226,0.0319,0.249,0.0152,0.34,0.0151,0.353,0.0705,0.158
SO,231764,0.8714,0.009,0.0294,0.134,0.0479,0.107,0.0018,0.567,0.0428,0.115,0.01,0.248,0.028,0.146,0.0422,0.123,0.0108,0.231,0.0211,0.171,0.0585,0.1
