region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,0.0799,0.1096,0.006,0.0075,0.101,0.0489,0.066,0.0282,0.342,0.0646,0.065,0.0354,0.126,0.1155,0.084,0.1197,0.081,0.0459,0.13,0.1202,0.126,0.0773,0.064
AI,0.0019,0.0028,0.028,NaN,NaN,0.0004,0.792,NaN,NaN,0.0014,0.462,NaN,NaN,0.0011,0.865,NaN,NaN,0.001,0.871,NaN,NaN,0.0008,0.607
AR,0.0065,0.0095,0.016,0.0002,0.584,0.002,0.331,NaN,NaN,0.0037,0.271,0.0028,0.446,0.0094,0.29,0.0026,0.568,0.0019,0.647,0.0034,0.799,0.0039,0.292
BE,0.1222,0.1624,0.005,0.0596,0.033,0.0486,0.063,0.0212,0.375,0.0864,0.053,0.0552,0.097,0.0765,0.098,0.0915,0.088,0.0829,0.09,0.0876,0.142,0.1106,0.051
BL,0.0342,0.0471,0.009,0.0054,0.117,0.0223,0.096,0.0079,0.644,0.0358,0.086,0.0128,0.208,0.0297,0.167,0.0239,0.186,0.0244,0.176,0.0753,0.161,0.0357,0.093
BS,0.023,0.0278,0.017,0.0059,0.117,0.0158,0.121,0.0066,0.807,0.0427,0.081,0.0154,0.205,0.031,0.166,0.0271,0.17,0.033,0.161,0.078,0.159,0.0363,0.095
FR,0.0367,0.0158,0.035,0.1106,0.015,0.0102,0.143,NaN,NaN,0.0201,0.115,0.0819,0.079,0.0131,0.25,0.0318,0.157,0.031,0.156,0.0269,0.27,0.0237,0.114
GE,0.0544,0.0039,0.058,0.1903,0.007,0.043,0.049,0.0057,0.581,0.1031,0.036,0.1418,0.043,0.0218,0.134,0.0451,0.093,0.1789,0.046,0.0313,0.174,0.0785,0.045
GL,0.0048,0.0066,0.025,0.0002,0.658,0.0032,0.272,NaN,NaN,0.0025,0.351,0.0037,0.4,0.004,0.475,0.0072,0.347,0.0028,0.539,0.0072,0.567,0.0036,0.318
GR,0.0239,0.0283,0.016,0.0019,0.2,0.0394,0.069,0.7108,0.063,0.0132,0.144,0.0289,0.137,0.0197,0.2,0.0069,0.341,0.0087,0.293,0.0069,0.543,0.0159,0.14
JU,0.0086,0.0009,0.17,0.0343,0.015,0.0029,0.264,NaN,NaN,0.003,0.313,0.0064,0.301,0.0021,0.618,0.0046,0.392,0.0106,0.273,0.0046,0.666,0.0033,0.298
LU,0.0479,0.0674,0.005,0.0036,0.104,0.0175,0.079,0.0142,0.337,0.0344,0.065,0.0291,0.101,0.0645,0.081,0.0602,0.081,0.0261,0.127,0.0227,0.209,0.0408,0.067
NE,0.0207,0.0016,0.088,0.0794,0.008,0.0143,0.082,0.0028,0.777,0.0133,0.099,0.0505,0.068,0.0107,0.186,0.0101,0.184,0.0233,0.123,0.0133,0.253,0.0151,0.101
NW,0.0052,0.0075,0.018,0.0003,0.497,0.0015,0.371,NaN,NaN,0.0043,0.234,0.0025,0.454,0.0051,0.377,0.002,0.583,0.0038,0.431,NaN,NaN,0.0026,0.339
OW,0.0045,0.0065,0.019,0.0002,0.683,0.0008,0.515,NaN,NaN,0.0033,0.281,0.0038,0.368,0.0033,0.483,0.003,0.484,0.0015,0.682,NaN,NaN,0.0026,0.344
SG,0.0597,0.0831,0.007,0.0031,0.157,0.0241,0.094,0.0334,0.318,0.0372,0.086,0.021,0.161,0.1009,0.088,0.0932,0.089,0.0299,0.159,0.0656,0.168,0.0536,0.077
SH,0.0098,0.0136,0.017,0.0005,0.387,0.0052,0.206,NaN,NaN,0.0083,0.179,0.0026,0.47,0.0179,0.213,0.0109,0.272,0.0051,0.38,0.0142,0.368,0.0102,0.177
SO,0.0325,0.0455,0.009,0.0037,0.143,0.0184,0.105,0.0047,0.88,0.0212,0.115,0.0099,0.24,0.0332,0.164,0.0442,0.14,0.0194,0.196,0.0687,0.173,0.0304,0.103
SZ,0.0188,0.0267,0.011,0.0017,0.208,0.0078,0.164,0.0108,0.559,0.0199,0.115,0.0071,0.277,0.0243,0.186,0.0148,0.234,0.0101,0.268,0.0096,0.448,0.0147,0.143
