region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,571882,493846,0.006,11299,0.104,29018,0.065,810,0.387,31539,0.063,10127,0.118,20078,0.081,23667,0.077,8262,0.127,9215,0.120,34243,0.062
AI,13270,12594,0.028,NaN,NaN,205,0.728,NaN,NaN,433,0.537,196,0.788,153,0.865,NaN,NaN,148,0.866,NaN,NaN,354,0.617
AR,45950,41718,0.017,513,0.518,1036,0.368,NaN,NaN,2135,0.253,476,0.558,1760,0.280,535,0.541,609,0.468,434,0.589,2230,0.264
BE,868970,727120,0.005,95390,0.033,27360,0.064,795,0.356,38349,0.053,14633,0.094,12893,0.096,17024,0.088,15046,0.086,6311,0.140,49620,0.049
BL,243491,209829,0.009,7909,0.123,13430,0.095,264,0.683,16317,0.086,2484,0.236,5619,0.153,5857,0.159,4762,0.163,5900,0.152,14780,0.092
BS,162990,125210,0.016,8214,0.128,10022,0.114,267,0.688,19742,0.080,3630,0.204,4958,0.173,5733,0.170,6555,0.147,6089,0.160,15583,0.094
FR,262654,68438,0.036,181335,0.015,6343,0.138,162,0.864,10211,0.111,20364,0.080,2090,0.253,5327,0.169,4860,0.163,1940,0.273,11839,0.105
GE,389107,15605,0.062,309901,0.007,24916,0.050,330,0.463,47320,0.037,36560,0.043,3416,0.144,8973,0.094,29199,0.048,2427,0.171,34930,0.044
GL,33983,29385,0.024,416,0.558,1862,0.255,203,0.789,1361,0.310,979,0.376,982,0.369,1364,0.310,462,0.537,388,0.589,1813,0.279
GR,170045,127941,0.016,2294,0.232,22504,0.071,25014,0.065,5822,0.150,7471,0.136,2659,0.222,1317,0.329,1704,0.279,355,0.617,6982,0.138
JU,61370,4569,0.157,55082,0.016,1545,0.272,NaN,NaN,1409,0.306,1433,0.309,433,0.565,1036,0.369,1364,0.307,195,0.794,2170,0.256
LU,342001,303063,0.005,5564,0.104,11389,0.073,668,0.304,15690,0.063,7647,0.095,10419,0.080,12657,0.075,5223,0.111,1915,0.195,18408,0.060
NE,146440,6908,0.090,128455,0.008,8318,0.083,NaN,NaN,6772,0.095,11372,0.073,1636,0.201,1897,0.196,4190,0.120,981,0.270,6856,0.096
NW,36616,33186,0.019,600,0.442,1184,0.325,NaN,NaN,1984,0.250,866,0.402,670,0.433,519,0.530,227,0.805,NaN,NaN,1422,0.295
OW,31675,29144,0.020,465,0.516,386,0.559,178,0.871,1102,0.339,893,0.394,276,0.642,479,0.537,NaN,NaN,230,0.735,1134,0.347
SG,424721,372327,0.006,5441,0.152,14973,0.092,1547,0.279,17498,0.085,6496,0.146,16568,0.088,20229,0.081,5218,0.157,3959,0.182,23804,0.074
SH,69345,60189,0.017,1226,0.316,2688,0.212,NaN,NaN,3601,0.182,955,0.371,2562,0.226,2211,0.249,1053,0.340,1045,0.353,4892,0.158
SO,231764,201949,0.009,6810,0.134,11093,0.107,419,0.567,9915,0.115,2327,0.248,6500,0.146,9774,0.123,2495,0.231,4892,0.171,13562,0.100
SZ,134575,118851,0.011,2533,0.219,4708,0.163,371,0.582,8535,0.120,1699,0.286,3715,0.191,3806,0.193,1098,0.342,496,0.501,7747,0.134
TG,233109,207699,0.008,2955,0.203,8585,0.120,320,0.611,9023,0.119,4754,0.170,5124,0.160,10261,0.116,2846,0.214,2739,0.219,11224,0.111
TI,299826,30632,0.042,14081,0.064,265638,0.005,427,0.381,11612,0.073,7389,0.093,8155,0.088,3043,0.151,7101,0.094,849,0.283,11091,0.077
UR,30466,28463,0.018,NaN,NaN,427,0.538,NaN,NaN,1003,0.356,535,0.504,773,0.400,240,0.730,234,0.811,315,0.642,951,0.370
VD,657154,36089,0.039,542613,0.004,32729,0.042,310,0.450,58570,0.032,52373,0.035,10457,0.079,15003,0.069,26500,0.048,3822,0.132,44508,0.038
VS,288793,71000,0.036,195915,0.014,13201,0.095,NaN,NaN,11116,0.107,23130,0.075,3740,0.184,5002,0.165,4888,0.162,495,0.523,9921,0.116
ZG,106045,85202,0.012,3653,0.126,4589,0.112,191,0.549,12880,0.066,2381,0.166,3965,0.127,2176,0.180,2332,0.162,1178,0.241,9520,0.080
ZH,1276291,1029623,0.005,42485,0.055,72076,0.042,3426,0.192,121261,0.032,31127,0.068,37808,0.060,42966,0.058,37463,0.060,18535,0.087,108372,0.035
CH,7132533,4470580,0.002,1625363,0.004,590226,0.010,36349,0.055,465200,0.015,252297,0.020,167409,0.026,201178,0.025,173997,0.024,74899,0.041,447956,0.016
