region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,579030,496839,0.004,11676,0.072,30716,0.045,630,0.305,32195,0.044,10193,0.081,19319,0.058,24472,0.054,9852,0.081,9844,0.083,38054,0.041
AI,13428,12604,0.028,183,0.796,NaN,NaN,NaN,NaN,346,0.613,NaN,NaN,303,0.646,NaN,NaN,NaN,NaN,NaN,NaN,328,0.688
AR,45829,41888,0.017,461,0.517,889,0.370,205,0.741,1785,0.259,400,0.593,1294,0.315,617,0.488,736,0.410,188,0.865,2224,0.245
BE,872578,725073,0.005,93589,0.034,27859,0.064,1039,0.335,39585,0.053,16195,0.088,13119,0.096,19333,0.083,14087,0.090,6869,0.135,49660,0.049
BL,244953,211530,0.009,7954,0.121,13198,0.097,354,0.584,17270,0.084,2516,0.227,5213,0.158,5200,0.166,5357,0.156,5669,0.151,16093,0.088
BS,163030,123646,0.016,8312,0.122,9625,0.113,184,0.873,19173,0.080,3720,0.190,4913,0.163,4221,0.186,6454,0.143,6778,0.139,16708,0.088
FR,266093,69618,0.036,182267,0.015,6856,0.135,NaN,NaN,9116,0.116,20338,0.078,2151,0.245,6555,0.146,4922,0.162,2097,0.249,10998,0.108
GE,389521,15169,0.063,308464,0.007,23769,0.052,242,0.539,47376,0.036,36536,0.042,3743,0.137,9415,0.091,30839,0.046,2763,0.159,34516,0.044
GL,34154,29026,0.028,278,0.684,2143,0.247,NaN,NaN,1133,0.366,1284,0.325,911,0.397,1265,0.340,355,0.614,267,0.732,2046,0.264
GR,171221,127959,0.016,2225,0.234,23739,0.069,23756,0.067,7139,0.136,8396,0.130,2896,0.213,1660,0.300,1847,0.275,287,0.687,6627,0.145
JU,61505,3653,0.178,55601,0.015,1738,0.275,NaN,NaN,1369,0.313,1720,0.285,393,0.587,813,0.414,1321,0.325,200,0.789,1830,0.279
LU,344785,303390,0.005,5350,0.108,11303,0.075,865,0.264,15863,0.063,7501,0.093,10957,0.077,12786,0.073,5333,0.109,1782,0.197,19867,0.058
NE,146426,6706,0.092,129245,0.008,8269,0.085,124,0.727,6504,0.097,10457,0.077,1623,0.196,1941,0.190,3810,0.129,1066,0.247,7195,0.094
NW,36957,33833,0.019,477,0.501,907,0.378,186,0.792,1725,0.263,419,0.563,598,0.507,554,0.500,401,0.535,NaN,NaN,1620,0.286
OW,31785,29115,0.019,311,0.642,616,0.475,NaN,NaN,1166,0.333,981,0.374,437,0.558,544,0.515,261,0.730,NaN,NaN,1078,0.364
SG,427747,373889,0.007,4572,0.169,15490,0.094,1050,0.344,17959,0.086,6068,0.152,18262,0.086,19479,0.087,6002,0.152,5098,0.166,25490,0.074
SH,69907,60725,0.017,1099,0.335,2803,0.213,NaN,NaN,3992,0.180,663,0.459,2572,0.227,2279,0.249,954,0.371,1182,0.336,5006,0.165
SO,233690,202103,0.009,6164,0.143,10848,0.108,345,0.618,10160,0.114,2317,0.244,7055,0.141,8736,0.133,2747,0.221,4158,0.184,14695,0.098
SZ,136273,119704,0.011,2747,0.211,4225,0.173,459,0.516,8791,0.117,1742,0.281,4054,0.182,3086,0.222,1713,0.276,935,0.387,7798,0.128
TG,235771,209154,0.006,2848,0.149,9723,0.081,350,0.416,9558,0.083,4751,0.120,4464,0.123,9698,0.087,2766,0.154,2566,0.165,13625,0.069
TI,300151,30986,0.041,14219,0.063,264683,0.005,326,0.425,12799,0.068,7680,0.089,7906,0.088,2901,0.152,6918,0.093,1114,0.237,11328,0.073
UR,30616,27881,0.020,215,0.746,770,0.404,NaN,NaN,1131,0.339,768,0.429,661,0.472,NaN,NaN,199,0.869,327,0.648,1107,0.355
VD,665074,34242,0.041,548015,0.005,33260,0.043,310,0.467,60534,0.031,49967,0.036,10675,0.079,15732,0.067,25819,0.050,3802,0.133,44907,0.038
VS,291821,72841,0.025,195519,0.010,12752,0.070,168,0.603,11865,0.073,24668,0.050,4199,0.128,5208,0.118,4158,0.124,561,0.368,10384,0.080
ZG,106921,84855,0.012,3509,0.132,4592,0.115,291,0.448,13917,0.065,2627,0.159,4192,0.126,2069,0.188,2177,0.172,1004,0.260,9209,0.081
ZH,1288449,1033170,0.005,41653,0.055,72803,0.042,3791,0.181,127602,0.031,32142,0.065,38425,0.059,44494,0.057,36937,0.060,19713,0.084,112150,0.033
CH,7187715,4479599,0.002,1626953,0.004,593729,0.010,35311,0.055,480054,0.014,254171,0.019,170335,0.025,203255,0.024,176007,0.023,78416,0.038,464541,0.015
