region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,553530,0.8729,0.006,0.0206,0.105,0.0516,0.067,0.002,0.34,0.0447,0.072,0.0176,0.12,0.0373,0.082,0.0386,0.083,0.0148,0.128,0.0168,0.123,0.0589,0.064
AI,13178,0.934,0.027,NaN,NaN,NaN,NaN,NaN,NaN,0.0258,0.613,NaN,NaN,0.0225,0.679,NaN,NaN,0.0166,0.862,NaN,NaN,0.0304,0.61
AR,45911,0.9202,0.016,0.0135,0.454,0.0265,0.319,0.0037,0.87,0.0361,0.284,0.009,0.582,0.0319,0.302,0.0117,0.517,0.0109,0.515,0.0098,0.558,0.047,0.255
BE,859534,0.8411,0.005,0.1103,0.034,0.0325,0.065,0.0014,0.31,0.0364,0.061,0.0175,0.095,0.0154,0.095,0.0213,0.084,0.0147,0.098,0.0079,0.136,0.0518,0.053
BL,240860,0.8729,0.009,0.0356,0.119,0.0511,0.1,0.002,0.5,0.0556,0.098,0.0106,0.234,0.0222,0.163,0.0218,0.174,0.0179,0.178,0.0257,0.153,0.0624,0.095
BS,162649,0.7776,0.015,0.0513,0.123,0.0653,0.111,0.001,0.87,0.099,0.091,0.0208,0.21,0.0298,0.17,0.0264,0.189,0.0341,0.161,0.0414,0.147,0.0951,0.094
FR,253558,0.2737,0.036,0.6861,0.015,0.0251,0.14,NaN,NaN,0.0358,0.119,0.0822,0.079,0.0077,0.262,0.0255,0.146,0.0204,0.158,0.0043,0.356,0.0393,0.115
GE,376720,0.0448,0.061,0.8102,0.007,0.068,0.05,0.0007,0.51,0.1154,0.039,0.1035,0.042,0.0097,0.141,0.0211,0.099,0.0794,0.048,0.0067,0.173,0.0889,0.046
GL,33735,0.8743,0.024,0.0089,0.686,0.058,0.252,NaN,NaN,0.0347,0.341,0.0251,0.409,0.0259,0.403,0.0499,0.301,0.0114,0.62,0.0163,0.503,0.0553,0.274
GR,168482,0.7486,0.016,0.0107,0.266,0.1312,0.071,0.1507,0.06,0.0315,0.159,0.0481,0.13,0.0182,0.204,0.0115,0.272,0.0106,0.281,0.0033,0.488,0.035,0.151
JU,60754,0.0749,0.16,0.8994,0.016,0.0285,0.277,NaN,NaN,0.0186,0.335,0.0291,0.286,0.0092,0.506,0.0155,0.407,0.0212,0.326,0.0042,0.737,0.0225,0.323
LU,334499,0.8931,0.005,0.016,0.113,0.0327,0.08,0.0025,0.28,0.0365,0.077,0.022,0.102,0.034,0.08,0.0338,0.082,0.013,0.129,0.0054,0.206,0.0528,0.065
NE,147433,0.0561,0.083,0.8756,0.008,0.0613,0.081,0.0007,0.78,0.0366,0.108,0.0888,0.069,0.0126,0.192,0.0135,0.19,0.0295,0.122,0.0094,0.219,0.0539,0.091
NW,36095,0.9158,0.018,0.0134,0.498,0.0335,0.324,0.005,0.8,0.0487,0.268,0.0175,0.468,0.0108,0.581,0.0141,0.518,0.0096,0.611,NaN,NaN,0.0347,0.329
OW,31169,0.9098,0.02,0.0124,0.555,0.022,0.418,NaN,NaN,0.0381,0.322,0.0287,0.384,0.0187,0.466,0.0199,0.467,NaN,NaN,0.0057,0.864,0.042,0.313
SG,418305,0.8844,0.006,0.0123,0.156,0.0354,0.091,0.0026,0.34,0.0316,0.098,0.0148,0.146,0.0464,0.084,0.0441,0.09,0.0154,0.142,0.011,0.176,0.0552,0.076
SH,68110,0.8781,0.016,0.0196,0.313,0.0411,0.214,NaN,NaN,0.0423,0.215,0.0081,0.518,0.0453,0.206,0.0354,0.241,0.0209,0.307,0.0084,0.501,0.064,0.178
SO,227461,0.8881,0.008,0.0288,0.138,0.0483,0.109,0.0016,0.58,0.0359,0.129,0.0086,0.272,0.0287,0.151,0.0361,0.142,0.0124,0.223,0.0235,0.171,0.0554,0.107
SZ,130566,0.8971,0.01,0.0215,0.213,0.0294,0.184,0.0028,0.58,0.0648,0.123,0.0146,0.273,0.0259,0.201,0.0274,0.202,0.009,0.337,0.0042,0.518,0.0561,0.141
TG,226358,0.8943,0.006,0.0128,0.148,0.0435,0.079,0.0025,0.32,0.033,0.092,0.0199,0.123,0.0221,0.118,0.0389,0.091,0.012,0.156,0.0142,0.15,0.0466,0.08
TI,301265,0.1066,0.041,0.0506,0.062,0.8883,0.005,0.0008,0.51,0.0365,0.076,0.0303,0.084,0.03,0.083,0.0096,0.149,0.0228,0.097,0.0042,0.223,0.0396,0.074
UR,30033,0.933,0.018,0.0068,0.789,0.029,0.392,NaN,NaN,0.0268,0.426,0.027,0.443,0.0202,0.509,0.0122,0.613,NaN,NaN,0.0082,0.732,0.0189,0.498
VD,640606,0.0602,0.038,0.834,0.004,0.0528,0.041,0.0006,0.39,0.0852,0.033,0.0858,0.033,0.0175,0.077,0.0216,0.071,0.0427,0.048,0.0056,0.138,0.0659,0.039
VS,283009,0.2592,0.035,0.6777,0.015,0.0418,0.102,0.0007,0.79,0.0308,0.123,0.0867,0.072,0.014,0.187,0.019,0.168,0.0167,0.167,0.0026,0.458,0.0348,0.117
