region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,565764,0.8627,0.006,0.0213,0.101,0.0513,0.066,0.0018,0.342,0.0534,0.065,0.016,0.126,0.0347,0.084,0.0412,0.081,0.014,0.13,0.016,0.126,0.0592,0.064
AI,13353,0.9448,0.028,NaN,NaN,0.0159,0.792,NaN,NaN,0.0478,0.462,NaN,NaN,0.0146,0.865,NaN,NaN,0.0133,0.871,NaN,NaN,0.0273,0.607
AR,45961,0.9188,0.016,0.0083,0.584,0.0254,0.331,NaN,NaN,0.038,0.271,0.0157,0.446,0.0347,0.29,0.0109,0.568,0.007,0.647,0.0055,0.799,0.0366,0.292
BE,866007,0.8353,0.005,0.1113,0.033,0.0334,0.063,0.0009,0.375,0.0466,0.053,0.0163,0.097,0.015,0.098,0.0206,0.088,0.0166,0.09,0.0076,0.142,0.0554,0.051
BL,242458,0.8648,0.009,0.0362,0.117,0.0547,0.096,0.0012,0.644,0.069,0.086,0.0134,0.208,0.0208,0.167,0.0192,0.186,0.0174,0.176,0.0234,0.161,0.0639,0.093
BS,163051,0.7587,0.017,0.0586,0.117,0.0575,0.121,0.0015,0.807,0.1224,0.081,0.0241,0.205,0.0324,0.166,0.0323,0.17,0.0351,0.161,0.036,0.159,0.0966,0.095
FR,259778,0.2707,0.035,0.6886,0.015,0.0233,0.143,NaN,NaN,0.0362,0.115,0.0805,0.079,0.0086,0.25,0.0239,0.157,0.0207,0.156,0.0078,0.27,0.0395,0.114
GE,385289,0.0452,0.058,0.7991,0.007,0.0663,0.049,0.0005,0.581,0.1251,0.036,0.094,0.043,0.0096,0.134,0.0228,0.093,0.0804,0.046,0.0061,0.174,0.0884,0.045
GL,33924,0.866,0.025,0.0102,0.658,0.0555,0.272,NaN,NaN,0.0347,0.351,0.0278,0.4,0.0201,0.475,0.0411,0.347,0.0142,0.539,0.016,0.567,0.0458,0.318
GR,169268,0.7441,0.016,0.0178,0.2,0.1384,0.069,0.1541,0.063,0.0364,0.144,0.0435,0.137,0.0198,0.2,0.0079,0.341,0.0088,0.293,0.0031,0.543,0.0407,0.14
JU,61140,0.0636,0.17,0.9063,0.015,0.0286,0.264,NaN,NaN,0.0226,0.313,0.0267,0.301,0.0058,0.618,0.0147,0.392,0.0301,0.273,0.0056,0.666,0.0236,0.298
LU,339232,0.8845,0.005,0.0172,0.104,0.0307,0.079,0.0015,0.337,0.0474,0.065,0.0219,0.101,0.0324,0.081,0.0346,0.081,0.0133,0.127,0.005,0.209,0.0522,0.067
NE,146334,0.049,0.088,0.8778,0.008,0.0579,0.082,0.0007,0.777,0.0425,0.099,0.0881,0.068,0.0125,0.186,0.0134,0.184,0.0276,0.123,0.0068,0.253,0.0447,0.101
NW,36682,0.9151,0.018,0.012,0.497,0.024,0.371,NaN,NaN,0.0551,0.234,0.0171,0.454,0.0237,0.377,0.0109,0.583,0.0178,0.431,NaN,NaN,0.0305,0.339
OW,31548,0.913,0.019,0.0078,0.683,0.0147,0.515,NaN,NaN,0.0495,0.281,0.0306,0.368,0.0176,0.483,0.0186,0.484,0.0083,0.682,NaN,NaN,0.0354,0.344
SG,422600,0.876,0.007,0.012,0.157,0.0339,0.094,0.0029,0.318,0.0412,0.086,0.0127,0.161,0.0406,0.088,0.043,0.089,0.0123,0.159,0.0117,0.168,0.055,0.077
SH,69088,0.8746,0.017,0.0118,0.387,0.0451,0.206,NaN,NaN,0.0561,0.179,0.0095,0.47,0.0442,0.213,0.0308,0.272,0.0127,0.38,0.0155,0.368,0.0643,0.177
SO,230273,0.88,0.009,0.0259,0.143,0.0474,0.105,0.0007,0.88,0.043,0.115,0.011,0.24,0.0245,0.164,0.0374,0.14,0.0146,0.196,0.0224,0.173,0.0572,0.103
SZ,133326,0.8932,0.011,0.021,0.208,0.0346,0.164,0.003,0.559,0.0698,0.115,0.0135,0.277,0.031,0.186,0.0216,0.234,0.0132,0.268,0.0054,0.448,0.0478,0.143
TG,230783,0.8915,0.008,0.0129,0.205,0.0401,0.116,0.0013,0.644,0.0365,0.122,0.0206,0.169,0.0247,0.152,0.0401,0.121,0.0108,0.226,0.0113,0.224,0.0501,0.106
TI,300912,0.107,0.041,0.0505,0.061,0.8793,0.005,0.0011,0.426,0.0388,0.072,0.0268,0.089,0.0262,0.088,0.0109,0.143,0.0229,0.094,0.0038,0.233,0.0357,0.076
UR,30246,0.9228,0.02,0.0095,0.644,0.0344,0.337,NaN,NaN,0.0247,0.399,0.0254,0.412,0.0182,0.467,0.009,0.689,0.0083,0.687,0.0094,0.684,0.0258,0.392
VD,652435,0.0589,0.037,0.8232,0.004,0.0541,0.04,0.0004,0.466,0.0911,0.031,0.083,0.034,0.0171,0.077,0.023,0.068,0.0402,0.048,0.0055,0.137,0.0682,0.038
VS,287519,0.2503,0.036,0.6704,0.015,0.0442,0.099,NaN,NaN,0.0417,0.103,0.0795,0.075,0.0155,0.171,0.0155,0.177,0.0176,0.161,0.0022,0.457,0.0355,0.117
ZG,105326,0.8079,0.011,0.0358,0.124,0.0403,0.118,0.0023,0.476,0.1265,0.066,0.0217,0.172,0.0341,0.133,0.0158,0.208,0.0231,0.16,0.0107,0.243,0.0798,0.087
ZH,1261771,0.8116,0.005,0.0343,0.054,0.0581,0.042,0.0031,0.182,0.0946,0.032,0.0254,0.067,0.0297,0.06,0.0349,0.058,0.0287,0.061,0.0141,0.089,0.0832,0.036
CH,7084068,0.6287,0.002,0.2284,0.004,0.0839,0.01,0.0052,0.054,0.066,0.015,0.036,0.02,0.024,0.027,0.0275,0.026,0.0244,0.024,0.0106,0.042,0.0613,0.016
