region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,0.0802,0.1105,0.006,0.007,0.104,0.0492,0.065,0.0223,0.387,0.0678,0.063,0.0401,0.118,0.1199,0.081,0.1176,0.077,0.0475,0.127,0.123,0.12,0.0764,0.062
AI,0.0019,0.0028,0.028,NaN,NaN,0.0003,0.728,NaN,NaN,0.0009,0.537,0.0008,0.788,0.0009,0.865,NaN,NaN,0.0009,0.866,NaN,NaN,0.0008,0.617
AR,0.0064,0.0093,0.017,0.0003,0.518,0.0018,0.368,NaN,NaN,0.0046,0.253,0.0019,0.558,0.0105,0.28,0.0027,0.541,0.0035,0.468,0.0058,0.589,0.005,0.264
BE,0.1218,0.1626,0.005,0.0587,0.033,0.0464,0.064,0.0219,0.356,0.0824,0.053,0.058,0.094,0.077,0.096,0.0846,0.088,0.0865,0.086,0.0843,0.14,0.1108,0.049
BL,0.0341,0.0469,0.009,0.0049,0.123,0.0228,0.095,0.0073,0.683,0.0351,0.086,0.0098,0.236,0.0336,0.153,0.0291,0.159,0.0274,0.163,0.0788,0.152,0.033,0.092
BS,0.0229,0.028,0.016,0.0051,0.128,0.017,0.114,0.0073,0.688,0.0424,0.08,0.0144,0.204,0.0296,0.173,0.0285,0.17,0.0377,0.147,0.0813,0.16,0.0348,0.094
FR,0.0368,0.0153,0.036,0.1116,0.015,0.0107,0.138,0.0045,0.864,0.0219,0.111,0.0807,0.08,0.0125,0.253,0.0265,0.169,0.0279,0.163,0.0259,0.273,0.0264,0.105
GE,0.0546,0.0035,0.062,0.1907,0.007,0.0422,0.05,0.0091,0.463,0.1017,0.037,0.1449,0.043,0.0204,0.144,0.0446,0.094,0.1678,0.048,0.0324,0.171,0.078,0.044
GL,0.0048,0.0066,0.024,0.0003,0.558,0.0032,0.255,0.0056,0.789,0.0029,0.31,0.0039,0.376,0.0059,0.369,0.0068,0.31,0.0027,0.537,0.0052,0.589,0.004,0.279
GR,0.0238,0.0286,0.016,0.0014,0.232,0.0381,0.071,0.6882,0.065,0.0125,0.15,0.0296,0.136,0.0159,0.222,0.0065,0.329,0.0098,0.279,0.0047,0.617,0.0156,0.138
JU,0.0086,0.001,0.157,0.0339,0.016,0.0026,0.272,NaN,NaN,0.003,0.306,0.0057,0.309,0.0026,0.565,0.0051,0.369,0.0078,0.307,0.0026,0.794,0.0048,0.256
LU,0.0479,0.0678,0.005,0.0034,0.104,0.0193,0.073,0.0184,0.304,0.0337,0.063,0.0303,0.095,0.0622,0.08,0.0629,0.075,0.03,0.111,0.0256,0.195,0.0411,0.06
NE,0.0205,0.0015,0.09,0.079,0.008,0.0141,0.083,NaN,NaN,0.0146,0.095,0.0451,0.073,0.0098,0.201,0.0094,0.196,0.0241,0.12,0.0131,0.27,0.0153,0.096
NW,0.0051,0.0074,0.019,0.0004,0.442,0.002,0.325,NaN,NaN,0.0043,0.25,0.0034,0.402,0.004,0.433,0.0026,0.53,0.0013,0.805,NaN,NaN,0.0032,0.295
OW,0.0044,0.0065,0.02,0.0003,0.516,0.0007,0.559,0.0049,0.871,0.0024,0.339,0.0035,0.394,0.0016,0.642,0.0024,0.537,NaN,NaN,0.0031,0.735,0.0025,0.347
SG,0.0595,0.0833,0.006,0.0033,0.152,0.0254,0.092,0.0426,0.279,0.0376,0.085,0.0257,0.146,0.099,0.088,0.1006,0.081,0.03,0.157,0.0529,0.182,0.0531,0.074
SH,0.0097,0.0135,0.017,0.0008,0.316,0.0046,0.212,NaN,NaN,0.0077,0.182,0.0038,0.371,0.0153,0.226,0.011,0.249,0.0061,0.34,0.014,0.353,0.0109,0.158
SO,0.0325,0.0452,0.009,0.0042,0.134,0.0188,0.107,0.0115,0.567,0.0213,0.115,0.0092,0.248,0.0388,0.146,0.0486,0.123,0.0143,0.231,0.0653,0.171,0.0303,0.1
SZ,0.0189,0.0266,0.011,0.0016,0.219,0.008,0.163,0.0102,0.582,0.0183,0.12,0.0067,0.286,0.0222,0.191,0.0189,0.193,0.0063,0.342,0.0066,0.501,0.0173,0.134
