region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,579030,0.8581,0.004,0.0202,0.072,0.053,0.045,0.0011,0.305,0.0556,0.044,0.0176,0.081,0.0334,0.058,0.0423,0.054,0.017,0.081,0.017,0.083,0.0657,0.041
AI,13428,0.9386,0.028,0.0136,0.796,NaN,NaN,NaN,NaN,0.0258,0.613,NaN,NaN,0.0226,0.646,NaN,NaN,NaN,NaN,NaN,NaN,0.0244,0.688
AR,45829,0.914,0.017,0.0101,0.517,0.0194,0.37,0.0045,0.741,0.0389,0.259,0.0087,0.593,0.0282,0.315,0.0135,0.488,0.0161,0.41,0.0041,0.865,0.0485,0.245
BE,872578,0.831,0.005,0.1073,0.034,0.0319,0.064,0.0012,0.335,0.0454,0.053,0.0186,0.088,0.015,0.096,0.0222,0.083,0.0161,0.09,0.0079,0.135,0.0569,0.049
BL,244953,0.8636,0.009,0.0325,0.121,0.0539,0.097,0.0014,0.584,0.0705,0.084,0.0103,0.227,0.0213,0.158,0.0212,0.166,0.0219,0.156,0.0231,0.151,0.0657,0.088
BS,163030,0.7584,0.016,0.051,0.122,0.059,0.113,0.0011,0.873,0.1176,0.08,0.0228,0.19,0.0301,0.163,0.0259,0.186,0.0396,0.143,0.0416,0.139,0.1025,0.088
FR,266093,0.2616,0.036,0.685,0.015,0.0258,0.135,NaN,NaN,0.0343,0.116,0.0764,0.078,0.0081,0.245,0.0246,0.146,0.0185,0.162,0.0079,0.249,0.0413,0.108
GE,389521,0.0389,0.063,0.7919,0.007,0.061,0.052,0.0006,0.539,0.1216,0.036,0.0938,0.042,0.0096,0.137,0.0242,0.091,0.0792,0.046,0.0071,0.159,0.0886,0.044
GL,34154,0.8499,0.028,0.0081,0.684,0.0627,0.247,NaN,NaN,0.0332,0.366,0.0376,0.325,0.0267,0.397,0.037,0.34,0.0104,0.614,0.0078,0.732,0.0599,0.264
GR,171221,0.7473,0.016,0.013,0.234,0.1386,0.069,0.1387,0.067,0.0417,0.136,0.049,0.13,0.0169,0.213,0.0097,0.3,0.0108,0.275,0.0017,0.687,0.0387,0.145
JU,61505,0.0594,0.178,0.904,0.015,0.0283,0.275,NaN,NaN,0.0223,0.313,0.028,0.285,0.0064,0.587,0.0132,0.414,0.0215,0.325,0.0033,0.789,0.0298,0.279
LU,344785,0.8799,0.005,0.0155,0.108,0.0328,0.075,0.0025,0.264,0.046,0.063,0.0218,0.093,0.0318,0.077,0.0371,0.073,0.0155,0.109,0.0052,0.197,0.0576,0.058
NE,146426,0.0458,0.092,0.8827,0.008,0.0565,0.085,0.0008,0.727,0.0444,0.097,0.0714,0.077,0.0111,0.196,0.0133,0.19,0.026,0.129,0.0073,0.247,0.0491,0.094
NW,36957,0.9155,0.019,0.0129,0.501,0.0245,0.378,0.005,0.792,0.0467,0.263,0.0113,0.563,0.0162,0.507,0.015,0.5,0.0109,0.535,NaN,NaN,0.0438,0.286
OW,31785,0.916,0.019,0.0098,0.642,0.0194,0.475,NaN,NaN,0.0367,0.333,0.0309,0.374,0.0137,0.558,0.0171,0.515,0.0082,0.73,NaN,NaN,0.0339,0.364
SG,427747,0.8741,0.007,0.0107,0.169,0.0362,0.094,0.0025,0.344,0.042,0.086,0.0142,0.152,0.0427,0.086,0.0455,0.087,0.014,0.152,0.0119,0.166,0.0596,0.074
SH,69907,0.8687,0.017,0.0157,0.335,0.0401,0.213,NaN,NaN,0.0571,0.18,0.0095,0.459,0.0368,0.227,0.0326,0.249,0.0136,0.371,0.0169,0.336,0.0716,0.165
SO,233690,0.8648,0.009,0.0264,0.143,0.0464,0.108,0.0015,0.618,0.0435,0.114,0.0099,0.244,0.0302,0.141,0.0374,0.133,0.0118,0.221,0.0178,0.184,0.0629,0.098
SZ,136273,0.8784,0.011,0.0202,0.211,0.031,0.173,0.0034,0.516,0.0645,0.117,0.0128,0.281,0.0297,0.182,0.0226,0.222,0.0126,0.276,0.0069,0.387,0.0572,0.128
TG,235771,0.8871,0.006,0.0121,0.149,0.0412,0.081,0.0015,0.416,0.0405,0.083,0.0202,0.12,0.0189,0.123,0.0411,0.087,0.0117,0.154,0.0109,0.165,0.0578,0.069
TI,300151,0.1032,0.041,0.0474,0.063,0.8818,0.005,0.0011,0.425,0.0426,0.068,0.0256,0.089,0.0263,0.088,0.0097,0.152,0.023,0.093,0.0037,0.237,0.0377,0.073
UR,30616,0.9107,0.02,0.007,0.746,0.0252,0.404,NaN,NaN,0.0369,0.339,0.0251,0.429,0.0216,0.472,NaN,NaN,0.0065,0.869,0.0107,0.648,0.0362,0.355
VD,665074,0.0515,0.041,0.824,0.005,0.05,0.043,0.0005,0.467,0.091,0.031,0.0751,0.036,0.0161,0.079,0.0237,0.067,0.0388,0.05,0.0057,0.133,0.0675,0.038
VS,291821,0.2496,0.025,0.67,0.01,0.0437,0.07,0.0006,0.603,0.0407,0.073,0.0845,0.05,0.0144,0.128,0.0178,0.118,0.0142,0.124,0.0019,0.368,0.0356,0.08
ZG,106921,0.7936,0.012,0.0328,0.132,0.0429,0.115,0.0027,0.448,0.1302,0.065,0.0246,0.159,0.0392,0.126,0.0194,0.188,0.0204,0.172,0.0094,0.26,0.0861,0.081
ZH,1288449,0.8019,0.005,0.0323,0.055,0.0565,0.042,0.0029,0.181,0.099,0.031,0.0249,0.065,0.0298,0.059,0.0345,0.057,0.0287,0.06,0.0153,0.084,0.087,0.033
CH,7187715,0.6232,0.002,0.2264,0.004,0.0826,0.01,0.0049,0.055,0.0668,0.014,0.0354,0.019,0.0237,0.025,0.0283,0.024,0.0245,0.023,0.0109,0.038,0.0646,0.015
