region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,0.0795,0.1092,0.006,0.0064,0.11,0.0506,0.065,0.0261,0.349,0.0611,0.071,0.0363,0.12,0.1088,0.084,0.1162,0.08,0.0503,0.124,0.1342,0.116,0.0809,0.062
AI,0.0019,0.0028,0.028,NaN,NaN,0.0005,0.683,NaN,NaN,0.0011,0.558,NaN,NaN,0.0017,0.744,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.61
AR,0.0065,0.0094,0.016,0.0004,0.467,0.0016,0.363,NaN,NaN,0.0041,0.276,0.0024,0.468,0.0082,0.309,0.0042,0.423,0.0022,0.586,0.0035,0.744,0.006,0.227
BE,0.1227,0.1632,0.005,0.0572,0.034,0.0456,0.064,0.0402,0.267,0.0789,0.059,0.0588,0.09,0.0806,0.093,0.0964,0.084,0.084,0.089,0.076,0.145,0.1061,0.051
BL,0.0344,0.0474,0.009,0.005,0.123,0.0207,0.099,0.0115,0.517,0.0342,0.095,0.0097,0.23,0.03,0.156,0.0278,0.154,0.0241,0.179,0.0689,0.151,0.0337,0.093
BS,0.0232,0.0286,0.015,0.0051,0.123,0.0173,0.112,0.0095,0.586,0.0415,0.086,0.0173,0.174,0.029,0.165,0.023,0.183,0.0356,0.149,0.0915,0.14,0.0336,0.093
FR,0.0365,0.016,0.035,0.1098,0.015,0.0101,0.142,0.0074,0.646,0.0229,0.116,0.0783,0.077,0.0109,0.262,0.0309,0.148,0.033,0.15,0.0252,0.254,0.0236,0.111
GE,0.0543,0.0039,0.059,0.1921,0.007,0.0421,0.05,0.0066,0.478,0.1093,0.037,0.1472,0.041,0.0218,0.132,0.0414,0.092,0.1691,0.047,0.0307,0.166,0.0816,0.043
GL,0.0048,0.0066,0.025,0.0002,0.647,0.0041,0.226,NaN,NaN,0.0035,0.309,0.0037,0.387,0.0044,0.412,0.0069,0.335,0.0022,0.613,0.006,0.54,0.0044,0.27
GR,0.024,0.0281,0.016,0.0016,0.217,0.0373,0.072,0.6442,0.063,0.0127,0.159,0.0322,0.131,0.0214,0.192,0.0072,0.317,0.0109,0.269,0.0047,0.618,0.0142,0.152
JU,0.0087,0.0008,0.176,0.0342,0.015,0.0033,0.262,NaN,NaN,0.0021,0.389,0.0062,0.298,0.0018,0.671,0.0065,0.351,0.0083,0.318,0.0025,0.876,0.0035,0.302
LU,0.0479,0.0671,0.005,0.0037,0.109,0.0175,0.082,0.015,0.338,0.0322,0.074,0.0297,0.098,0.0669,0.079,0.0578,0.082,0.0281,0.124,0.026,0.194,0.0412,0.064
NE,0.0209,0.0018,0.082,0.08,0.008,0.015,0.079,0.0025,0.78,0.0148,0.1,0.0463,0.069,0.0104,0.188,0.0085,0.201,0.0252,0.119,0.0154,0.233,0.0171,0.092
NW,0.0052,0.0075,0.017,0.0004,0.431,0.0013,0.401,NaN,NaN,0.0045,0.256,0.0019,0.516,0.0031,0.521,0.0035,0.46,0.0019,0.612,NaN,NaN,0.0038,0.282
OW,0.0045,0.0064,0.02,0.0004,0.441,0.0006,0.65,NaN,NaN,0.0033,0.305,0.0037,0.391,0.0022,0.596,0.0031,0.491,0.0012,0.795,NaN,NaN,0.0035,0.305
SG,0.0597,0.0829,0.006,0.0031,0.16,0.0262,0.089,0.0439,0.263,0.0359,0.094,0.021,0.156,0.1097,0.083,0.0961,0.087,0.0346,0.148,0.0627,0.169,0.0561,0.073
SH,0.0097,0.0136,0.016,0.0007,0.336,0.0042,0.23,NaN,NaN,0.0063,0.225,0.0032,0.412,0.0202,0.198,0.0108,0.268,0.007,0.335,0.0166,0.336,0.01,0.173
SO,0.0325,0.0454,0.009,0.0037,0.145,0.0187,0.108,0.0048,0.789,0.02,0.126,0.0065,0.276,0.0359,0.147,0.0438,0.131,0.0128,0.25,0.0643,0.168,0.031,0.1
SZ,0.0187,0.0265,0.01,0.0015,0.222,0.0073,0.169,0.0146,0.455,0.0183,0.126,0.0088,0.241,0.0231,0.183,0.0181,0.202,0.0102,0.267,0.0092,0.444,0.0157,0.136
