region,total,german,german_IC,french,french_IC,italian,italian_IC,romansh,romansh_IC,english,english_IC,portuguese,portuguese_IC,bosnianCroatianMontenegrinSerbian,bosnianCroatianMontenegrinSerbian_IC,albanian,albanian_IC,spanish,spanish_IC,turkish,turkish_IC,otherLanguages,otherLanguages_IC
AG,559727,487015,0.006,10338,0.110,30028,0.065,1056,0.349,25345,0.071,9627,0.120,19393,0.084,23411,0.080,8691,0.124,10484,0.116,36158,0.062
AI,13295,12449,0.028,NaN,NaN,324,0.683,NaN,NaN,467,0.558,NaN,NaN,307,0.744,NaN,NaN,NaN,NaN,NaN,NaN,442,0.610
AR,46019,42011,0.016,567,0.467,946,0.363,NaN,NaN,1701,0.276,628,0.468,1466,0.309,845,0.423,388,0.586,271,0.744,2671,0.227
BE,863405,727816,0.005,91904,0.034,27055,0.064,1626,0.267,32727,0.059,15579,0.090,14368,0.093,19428,0.084,14520,0.089,5937,0.145,47426,0.051
BL,241873,211499,0.009,8041,0.123,12255,0.099,464,0.517,14179,0.095,2557,0.230,5347,0.156,5595,0.154,4157,0.179,5384,0.151,15084,0.093
BS,163014,127378,0.015,8201,0.123,10276,0.112,383,0.586,17222,0.086,4573,0.174,5168,0.165,4639,0.183,6144,0.149,7145,0.140,15005,0.093
FR,256724,71325,0.035,176541,0.015,5985,0.142,300,0.646,9507,0.116,20742,0.077,1946,0.262,6218,0.148,5711,0.150,1965,0.254,10570,0.111
GE,382408,17516,0.059,308937,0.007,24960,0.050,266,0.478,45368,0.037,38990,0.041,3879,0.132,8345,0.092,29220,0.047,2398,0.166,36480,0.043
GL,33877,29335,0.025,307,0.647,2426,0.226,NaN,NaN,1433,0.309,991,0.387,789,0.412,1395,0.335,373,0.613,468,0.540,1962,0.270
GR,168961,125191,0.016,2555,0.217,22140,0.072,26055,0.063,5266,0.159,8526,0.131,3821,0.192,1446,0.317,1891,0.269,364,0.618,6351,0.152
JU,60947,3735,0.176,54979,0.015,1966,0.262,NaN,NaN,882,0.389,1629,0.298,329,0.671,1312,0.351,1435,0.318,194,0.876,1555,0.302
LU,337045,299236,0.005,6020,0.109,10391,0.082,606,0.338,13364,0.074,7856,0.098,11933,0.079,11639,0.082,4859,0.124,2029,0.194,18429,0.064
NE,146929,8118,0.082,128680,0.008,8905,0.079,100,0.780,6155,0.100,12265,0.069,1848,0.188,1705,0.201,4347,0.119,1202,0.233,7640,0.092
NW,36497,33611,0.017,636,0.431,767,0.401,NaN,NaN,1866,0.256,505,0.516,552,0.521,714,0.460,329,0.612,NaN,NaN,1699,0.282
OW,31369,28689,0.020,620,0.441,336,0.650,NaN,NaN,1363,0.305,967,0.391,392,0.596,623,0.491,203,0.795,NaN,NaN,1549,0.305
SG,420349,369785,0.006,4941,0.160,15550,0.089,1776,0.263,14895,0.094,5562,0.156,19565,0.083,19353,0.087,5973,0.148,4897,0.169,25082,0.073
SH,68545,60574,0.016,1137,0.336,2464,0.230,NaN,NaN,2600,0.225,842,0.412,3603,0.198,2180,0.268,1203,0.335,1293,0.336,4480,0.173
SO,228967,202508,0.009,6025,0.145,11118,0.108,194,0.789,8287,0.126,1729,0.276,6396,0.147,8818,0.131,2217,0.250,5019,0.168,13852,0.100
SZ,131851,118056,0.010,2441,0.222,4334,0.169,590,0.455,7579,0.126,2322,0.241,4115,0.183,3643,0.202,1768,0.267,720,0.444,7007,0.136
TG,228855,204978,0.006,2666,0.151,9911,0.081,459,0.360,7436,0.093,4353,0.125,5361,0.113,10019,0.085,3025,0.147,2942,0.152,10950,0.080
TI,300858,31530,0.040,14485,0.062,267071,0.005,415,0.373,10407,0.076,8602,0.085,8675,0.083,3201,0.142,7341,0.090,1239,0.220,11652,0.073
UR,30188,28211,0.017,NaN,NaN,776,0.421,NaN,NaN,637,0.459,856,0.431,575,0.504,207,0.794,NaN,NaN,NaN,NaN,536,0.547
VD,647327,37307,0.039,540015,0.004,35130,0.042,392,0.409,55758,0.033,54864,0.034,11377,0.077,14608,0.070,27083,0.049,3776,0.134,45599,0.038
VS,285305,71054,0.036,194482,0.014,11079,0.106,164,0.863,10769,0.108,24983,0.071,4309,0.174,5140,0.161,4772,0.167,545,0.504,10074,0.116
ZG,104140,84914,0.012,3603,0.131,3904,0.126,247,0.491,11774,0.070,2361,0.165,3929,0.130,2145,0.182,2031,0.175,979,0.259,9483,0.079
ZH,1247724,1025483,0.005,39514,0.056,73105,0.041,4946,0.157,107904,0.034,32816,0.064,38876,0.059,44715,0.057,34863,0.061,18355,0.087,105303,0.035
CH,7036199,4459323,0.002,1607865,0.004,593205,0.010,40444,0.051,414890,0.016,264864,0.019,178320,0.026,201461,0.025,172825,0.024,78101,0.040,447039,0.016
