region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,489292,0.006,0.181,0.036,0.4072,0.02,0.092,0.052,0.1639,0.037,0.1559,0.038
AI,11269,0.048,0.2751,0.198,0.4328,0.13,0.0901,0.349,0.1186,0.292,0.0835,0.362
AR,39875,0.021,0.1677,0.13,0.4354,0.067,0.0929,0.181,0.1674,0.127,0.1365,0.146
BE,758999,0.004,0.1748,0.028,0.4078,0.015,0.0992,0.037,0.1611,0.029,0.157,0.028
BL,212754,0.008,0.1728,0.054,0.3965,0.031,0.104,0.073,0.1507,0.059,0.1759,0.054
BS,146377,0.01,0.1863,0.065,0.2665,0.05,0.1082,0.087,0.1167,0.082,0.3223,0.045
FR,219103,0.009,0.2649,0.041,0.3272,0.035,0.092,0.075,0.1276,0.062,0.1883,0.051
GE,330167,0.005,0.2549,0.025,0.1902,0.029,0.1069,0.041,0.1021,0.042,0.346,0.021
GL,29436,0.024,0.2638,0.113,0.4126,0.081,0.0703,0.243,0.1471,0.162,0.1062,0.194
GR,148415,0.01,0.1954,0.062,0.4279,0.035,0.1083,0.085,0.1371,0.073,0.1314,0.077
JU,52025,0.02,0.3028,0.078,0.3582,0.068,0.094,0.154,0.1203,0.132,0.1246,0.133
LU,291696,0.006,0.1986,0.032,0.3907,0.02,0.0908,0.05,0.1678,0.035,0.152,0.038
NE,126207,0.008,0.272,0.037,0.2963,0.034,0.109,0.063,0.1233,0.059,0.1994,0.045
NW,32100,0.023,0.1705,0.146,0.424,0.076,0.0806,0.213,0.1902,0.128,0.1348,0.161
OW,27228,0.026,0.1864,0.151,0.4468,0.078,0.0789,0.236,0.1763,0.147,0.1117,0.197
SG,361897,0.007,0.2148,0.037,0.4159,0.023,0.0897,0.061,0.1491,0.045,0.1304,0.05
SH,60079,0.017,0.1881,0.101,0.4135,0.058,0.0929,0.15,0.1504,0.111,0.1552,0.111
SO,199954,0.009,0.1987,0.053,0.4298,0.03,0.0901,0.082,0.1637,0.057,0.1177,0.071
SZ,114960,0.012,0.1945,0.069,0.3881,0.043,0.0896,0.106,0.1658,0.075,0.1619,0.077
TG,198423,0.007,0.19,0.038,0.4315,0.021,0.0902,0.058,0.1626,0.041,0.1257,0.048
TI,265259,0.005,0.2426,0.027,0.2543,0.026,0.1787,0.032,0.134,0.038,0.1904,0.032
UR,26061,0.027,0.2835,0.113,0.419,0.086,0.071,0.261,0.1417,0.174,0.0847,0.233
VD,556742,0.004,0.2432,0.019,0.2716,0.018,0.0953,0.033,0.1185,0.029,0.2714,0.018
VS,248307,0.008,0.281,0.037,0.3508,0.031,0.0972,0.069,0.1178,0.062,0.1532,0.054
ZG,91918,0.009,0.1461,0.064,0.3264,0.038,0.0877,0.085,0.1779,0.056,0.2619,0.045
ZH,1104284,0.004,0.1573,0.026,0.3245,0.015,0.0942,0.034,0.1507,0.025,0.2733,0.018
CH,6142827,0.001,0.2028,0.008,0.3511,0.006,0.0992,0.013,0.1452,0.01,0.2017,0.008
