region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,482132,0.006,0.183,0.036,0.4154,0.02,0.0907,0.053,0.1663,0.037,0.1446,0.041
AI,11095,0.045,0.2462,0.196,0.4262,0.133,0.069,0.416,0.1398,0.261,0.1187,0.292
AR,39525,0.022,0.2049,0.116,0.4144,0.072,0.1024,0.175,0.1557,0.137,0.1226,0.16
BE,753347,0.004,0.1819,0.027,0.4143,0.015,0.0978,0.038,0.1528,0.03,0.1533,0.029
BL,211346,0.009,0.1782,0.054,0.3976,0.031,0.0943,0.077,0.1583,0.057,0.1717,0.055
BS,145761,0.01,0.1955,0.064,0.2632,0.051,0.1026,0.091,0.1077,0.086,0.331,0.045
FR,215650,0.009,0.2689,0.041,0.3193,0.036,0.0988,0.073,0.135,0.061,0.1779,0.053
GE,324763,0.006,0.2559,0.026,0.2033,0.029,0.1035,0.043,0.1034,0.043,0.3339,0.022
GL,29175,0.026,0.2562,0.117,0.4687,0.077,0.0658,0.26,0.1252,0.18,0.0841,0.23
GR,147339,0.01,0.2119,0.058,0.4134,0.036,0.1033,0.087,0.1338,0.074,0.1375,0.074
JU,51686,0.019,0.3093,0.078,0.3536,0.069,0.0972,0.152,0.1157,0.138,0.1241,0.134
LU,288266,0.006,0.2006,0.032,0.3954,0.02,0.0935,0.049,0.1709,0.034,0.1395,0.039
NE,126321,0.009,0.2793,0.037,0.3008,0.035,0.1156,0.062,0.123,0.06,0.1813,0.049
NW,31613,0.023,0.1852,0.132,0.4136,0.079,0.0785,0.218,0.1933,0.132,0.1293,0.17
OW,26914,0.026,0.2266,0.129,0.424,0.082,0.0795,0.23,0.1675,0.153,0.1024,0.203
SG,358593,0.007,0.2214,0.036,0.4104,0.023,0.0883,0.061,0.1509,0.045,0.129,0.049
SH,59493,0.017,0.1617,0.111,0.4309,0.056,0.1016,0.144,0.1562,0.108,0.1496,0.114
SO,197937,0.01,0.2145,0.052,0.418,0.031,0.0852,0.085,0.1496,0.061,0.1328,0.067
SZ,113442,0.013,0.1939,0.071,0.3971,0.043,0.082,0.114,0.16,0.077,0.167,0.077
TG,195401,0.007,0.1901,0.038,0.4314,0.021,0.0885,0.058,0.1648,0.041,0.1251,0.048
TI,265360,0.005,0.2484,0.027,0.2638,0.026,0.1776,0.033,0.1238,0.041,0.1865,0.033
UR,25844,0.025,0.2721,0.118,0.4084,0.086,0.0661,0.267,0.1649,0.158,0.0885,0.228
VD,549771,0.004,0.2522,0.019,0.2714,0.018,0.0963,0.033,0.1206,0.029,0.2595,0.018
VS,245346,0.008,0.2986,0.036,0.3418,0.032,0.1013,0.068,0.1066,0.066,0.1517,0.055
ZG,90630,0.009,0.146,0.064,0.3277,0.038,0.086,0.086,0.1788,0.056,0.2615,0.046
ZH,1090744,0.003,0.1611,0.024,0.3341,0.015,0.0937,0.032,0.1518,0.024,0.2594,0.017
CH,6077494,0.001,0.2086,0.008,0.3542,0.006,0.0984,0.013,0.1439,0.01,0.195,0.008
