region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,0.0797,0.006,0.0711,0.036,0.0924,0.02,0.0739,0.052,0.0899,0.037,0.0615,0.038
AI,0.0018,0.048,0.0025,0.198,0.0023,0.13,0.0017,0.349,0.0015,0.292,0.0008,0.362
AR,0.0065,0.021,0.0054,0.13,0.008,0.067,0.0061,0.181,0.0075,0.127,0.0044,0.146
BE,0.1236,0.004,0.1065,0.028,0.1435,0.015,0.1236,0.037,0.1371,0.029,0.0961,0.028
BL,0.0346,0.008,0.0295,0.054,0.0391,0.031,0.0363,0.073,0.036,0.059,0.0302,0.054
BS,0.0238,0.01,0.0219,0.065,0.0181,0.05,0.026,0.087,0.0192,0.082,0.0381,0.045
FR,0.0357,0.009,0.0466,0.041,0.0332,0.035,0.0331,0.075,0.0313,0.062,0.0333,0.051
GE,0.0537,0.005,0.0676,0.025,0.0291,0.029,0.0579,0.041,0.0378,0.042,0.0922,0.021
GL,0.0048,0.024,0.0062,0.113,0.0056,0.081,0.0034,0.243,0.0049,0.162,0.0025,0.194
GR,0.0242,0.01,0.0233,0.062,0.0294,0.035,0.0264,0.085,0.0228,0.073,0.0157,0.077
JU,0.0085,0.02,0.0126,0.078,0.0086,0.068,0.008,0.154,0.007,0.132,0.0052,0.133
LU,0.0475,0.006,0.0465,0.032,0.0528,0.02,0.0435,0.05,0.0549,0.035,0.0358,0.038
NE,0.0205,0.008,0.0276,0.037,0.0173,0.034,0.0226,0.063,0.0175,0.059,0.0203,0.045
NW,0.0052,0.023,0.0044,0.146,0.0063,0.076,0.0042,0.213,0.0068,0.128,0.0035,0.161
OW,0.0044,0.026,0.0041,0.151,0.0056,0.078,0.0035,0.236,0.0054,0.147,0.0025,0.197
SG,0.0589,0.007,0.0624,0.037,0.0698,0.023,0.0533,0.061,0.0605,0.045,0.0381,0.05
SH,0.0098,0.017,0.0091,0.101,0.0115,0.058,0.0092,0.15,0.0101,0.111,0.0075,0.111
SO,0.0326,0.009,0.0319,0.053,0.0398,0.03,0.0296,0.082,0.0367,0.057,0.019,0.071
SZ,0.0187,0.012,0.018,0.069,0.0207,0.043,0.0169,0.106,0.0214,0.075,0.015,0.077
TG,0.0323,0.007,0.0303,0.038,0.0397,0.021,0.0294,0.058,0.0362,0.041,0.0201,0.048
TI,0.0432,0.005,0.0517,0.027,0.0313,0.026,0.0778,0.032,0.0399,0.038,0.0408,0.032
UR,0.0042,0.027,0.0059,0.113,0.0051,0.086,0.003,0.261,0.0041,0.174,0.0018,0.233
VD,0.0906,0.004,0.1087,0.019,0.0701,0.018,0.0871,0.033,0.074,0.029,0.1219,0.018
VS,0.0404,0.008,0.056,0.037,0.0404,0.031,0.0396,0.069,0.0328,0.062,0.0307,0.054
ZG,0.015,0.009,0.0108,0.064,0.0139,0.038,0.0132,0.085,0.0183,0.056,0.0194,0.045
ZH,0.1798,0.004,0.1395,0.026,0.1662,0.015,0.1707,0.034,0.1865,0.025,0.2435,0.018
CH,6142827.0,0.001,1245535.0,0.008,2156900.0,0.006,609267.0,0.013,891905.0,0.01,1239220.0,0.008
