region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,508999,0.004,0.1721,0.025,0.3535,0.015,0.082,0.038,0.2212,0.021,0.1712,0.024
AI,11306,0.04,0.1903,0.215,0.4234,0.129,0.0588,0.417,0.216,0.203,0.1115,0.306
AR,40379,0.021,0.158,0.131,0.3777,0.075,0.088,0.183,0.2348,0.102,0.1414,0.138
BE,772223,0.004,0.1575,0.03,0.3736,0.016,0.0825,0.041,0.2052,0.024,0.1812,0.025
BL,216377,0.008,0.1587,0.057,0.344,0.034,0.09,0.077,0.2105,0.046,0.1968,0.049
BS,146798,0.009,0.1723,0.067,0.2163,0.057,0.102,0.09,0.1404,0.072,0.3689,0.04
FR,228914,0.009,0.2298,0.044,0.3461,0.033,0.088,0.075,0.1263,0.061,0.2098,0.045
GE,337359,0.005,0.2171,0.028,0.2273,0.026,0.1111,0.041,0.0799,0.047,0.3646,0.019
GL,30340,0.022,0.2418,0.121,0.3403,0.096,0.0809,0.227,0.2298,0.121,0.1072,0.195
GR,151659,0.01,0.1849,0.063,0.3652,0.039,0.0967,0.09,0.2085,0.056,0.1447,0.071
JU,52978,0.018,0.2401,0.091,0.443,0.057,0.0779,0.169,0.0893,0.153,0.1497,0.117
LU,301498,0.005,0.1697,0.033,0.3599,0.02,0.076,0.051,0.2271,0.026,0.1673,0.032
NE,126369,0.008,0.2249,0.042,0.3548,0.03,0.0992,0.067,0.1006,0.065,0.2206,0.042
NW,32820,0.021,0.1434,0.148,0.3674,0.083,0.0681,0.228,0.2582,0.106,0.163,0.141
OW,27957,0.024,0.1673,0.154,0.4237,0.082,0.067,0.257,0.2214,0.127,0.1207,0.183
SG,371437,0.007,0.1908,0.04,0.3712,0.025,0.0833,0.064,0.2037,0.037,0.151,0.045
SH,61699,0.015,0.1626,0.107,0.3777,0.061,0.0833,0.152,0.2034,0.09,0.1729,0.1
SO,205951,0.009,0.1836,0.055,0.3796,0.033,0.0758,0.09,0.2196,0.047,0.1414,0.061
SZ,120125,0.011,0.1783,0.072,0.347,0.046,0.0637,0.126,0.2129,0.062,0.198,0.066
TG,206855,0.006,0.1695,0.04,0.3813,0.023,0.0906,0.056,0.215,0.033,0.1437,0.043
TI,265028,0.005,0.2016,0.031,0.2615,0.026,0.2055,0.03,0.1197,0.041,0.2117,0.029
UR,26634,0.025,0.2474,0.124,0.3843,0.09,0.0531,0.297,0.2058,0.133,0.1096,0.193
VD,574370,0.004,0.2037,0.022,0.2952,0.016,0.0987,0.032,0.0996,0.031,0.3029,0.016
VS,256066,0.005,0.2341,0.029,0.3771,0.021,0.0974,0.048,0.1174,0.043,0.174,0.034
ZG,94896,0.009,0.1264,0.07,0.2736,0.042,0.0799,0.088,0.2109,0.049,0.3093,0.039
ZH,1143880,0.003,0.144,0.027,0.2775,0.017,0.0881,0.035,0.1897,0.022,0.3007,0.016
CH,6312917,0.001,0.1789,0.009,0.3272,0.006,0.0929,0.012,0.1757,0.009,0.2253,0.007
