region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,489292,0.006,88545,0.036,199232,0.020,45034,0.052,80211,0.037,76270,0.038
AI,11269,0.048,3100,0.198,4877,0.130,1015,0.349,1336,0.292,941,0.362
AR,39875,0.021,6689,0.130,17361,0.067,3705,0.181,6675,0.127,5444,0.146
BE,758999,0.004,132683,0.028,309553,0.015,75307,0.037,122305,0.029,119150,0.028
BL,212754,0.008,36771,0.054,84352,0.031,22131,0.073,32068,0.059,37431,0.054
BS,146377,0.010,27275,0.065,39006,0.050,15840,0.087,17083,0.082,47173,0.045
FR,219103,0.009,58034,0.041,71691,0.035,20167,0.075,27951,0.062,41261,0.051
GE,330167,0.005,84154,0.025,62795,0.029,35283,0.041,33701,0.042,114234,0.021
GL,29436,0.024,7764,0.113,12146,0.081,2070,0.243,4330,0.162,3126,0.194
GR,148415,0.010,28999,0.062,63501,0.035,16071,0.085,20346,0.073,19497,0.077
JU,52025,0.020,15755,0.078,18635,0.068,4892,0.154,6261,0.132,6482,0.133
LU,291696,0.006,57942,0.032,113969,0.020,26485,0.050,48959,0.035,44342,0.038
NE,126207,0.008,34330,0.037,37401,0.034,13752,0.063,15564,0.059,25160,0.045
NW,32100,0.023,5473,0.146,13609,0.076,2587,0.213,6104,0.128,4328,0.161
OW,27228,0.026,5076,0.151,12165,0.078,2147,0.236,4799,0.147,3041,0.197
SG,361897,0.007,77753,0.037,150501,0.023,32474,0.061,53964,0.045,47205,0.050
SH,60079,0.017,11301,0.101,24840,0.058,5579,0.150,9037,0.111,9323,0.111
SO,199954,0.009,39733,0.053,85943,0.030,18023,0.082,32723,0.057,23532,0.071
SZ,114960,0.012,22365,0.069,44621,0.043,10301,0.106,19058,0.075,18614,0.077
TG,198423,0.007,37707,0.038,85620,0.021,17897,0.058,32266,0.041,24933,0.048
TI,265259,0.005,64344,0.027,67463,0.026,47392,0.032,35551,0.038,50509,0.032
UR,26061,0.027,7388,0.113,10920,0.086,1851,0.261,3694,0.174,2207,0.233
VD,556742,0.004,135414,0.019,151185,0.018,53069,0.033,65958,0.029,151116,0.018
VS,248307,0.008,69764,0.037,87118,0.031,24139,0.069,29243,0.062,38042,0.054
ZG,91918,0.009,13427,0.064,30005,0.038,8064,0.085,16352,0.056,24070,0.045
ZH,1104284,0.004,173748,0.026,358389,0.015,103991,0.034,166364,0.025,301792,0.018
CH,6142827,0.001,1245535,0.008,2156900,0.006,609267,0.013,891905,0.010,1239220,0.008
