region,total,total_IC,withoutPostCompulsoryEducation,withoutPostCompulsoryEducation_IC,secondLevel2ProfessionalTraining,secondLevel2ProfessionalTraining_IC,secondLevel2GeneralTraining,secondLevel2GeneralTraining_IC,thirdLevelHigherProfessionalTraining,thirdLevelHigherProfessionalTraining_IC,thirdLevelUniversities,thirdLevelUniversities_IC
AG,482132,0.006,88216,0.036,200293,0.020,43747,0.053,80169,0.037,69707,0.041
AI,11095,0.045,2732,0.196,4729,0.133,766,0.416,1551,0.261,1317,0.292
AR,39525,0.022,8099,0.116,16378,0.072,4046,0.175,6156,0.137,4846,0.160
BE,753347,0.004,137020,0.027,312099,0.015,73660,0.038,115087,0.030,115481,0.029
BL,211346,0.009,37653,0.054,84028,0.031,19927,0.077,33459,0.057,36280,0.055
BS,145761,0.010,28493,0.064,38362,0.051,14961,0.091,15696,0.086,48250,0.045
FR,215650,0.009,57999,0.041,68848,0.036,21313,0.073,29120,0.061,38370,0.053
GE,324763,0.006,83111,0.026,66035,0.029,33601,0.043,33565,0.043,108450,0.022
GL,29175,0.026,7474,0.117,13674,0.077,1920,0.260,3654,0.180,2453,0.230
GR,147339,0.010,31228,0.058,60908,0.036,15227,0.087,19710,0.074,20266,0.074
JU,51686,0.019,15989,0.078,18278,0.069,5022,0.152,5981,0.138,6416,0.134
LU,288266,0.006,57832,0.032,113987,0.020,26947,0.049,49276,0.034,40224,0.039
NE,126321,0.009,35283,0.037,37994,0.035,14601,0.062,15537,0.060,22906,0.049
NW,31613,0.023,5854,0.132,13076,0.079,2482,0.218,6112,0.132,4089,0.170
OW,26914,0.026,6100,0.129,11411,0.082,2140,0.230,4507,0.153,2755,0.203
SG,358593,0.007,79380,0.036,147170,0.023,31654,0.061,54121,0.045,46268,0.049
SH,59493,0.017,9619,0.111,25637,0.056,6044,0.144,9292,0.108,8901,0.114
SO,197937,0.010,42453,0.052,82729,0.031,16862,0.085,29605,0.061,26287,0.067
SZ,113442,0.013,22001,0.071,45045,0.043,9301,0.114,18152,0.077,18942,0.077
TG,195401,0.007,37154,0.038,84300,0.021,17302,0.058,32202,0.041,24442,0.048
TI,265360,0.005,65906,0.027,69999,0.026,47121,0.033,32842,0.041,49492,0.033
UR,25844,0.025,7033,0.118,10554,0.086,1709,0.267,4261,0.158,2288,0.228
VD,549771,0.004,138676,0.019,149192,0.018,52936,0.033,66320,0.029,142646,0.018
VS,245346,0.008,73270,0.036,83870,0.032,24849,0.068,26149,0.066,37209,0.055
ZG,90630,0.009,13228,0.064,29697,0.038,7796,0.086,16205,0.056,23704,0.046
ZH,1090744,0.003,175738,0.024,364369,0.015,102156,0.032,165533,0.024,282948,0.017
CH,6077494,0.001,1267544,0.008,2152663,0.006,598091,0.013,874263,0.010,1184934,0.008
