region,totalHousing,tenantHousing,ownershipRate
AG,292604,143112,47.2 
AI,6463,2641,55.3 
AR,23767,10968,48.2 
BE,469305,260033,38.8 
BL,127596,64509,44.1 
BS,96209,72815,14.3 
FR,130746,67361,43.2 
GE,194936,144687,18.1 
GL,17921,8550,47.1 
GR,91447,46202,43.5 
JU,31984,14000,50.5 
LU,176401,104079,35.0 
NE,81044,52791,30.8 
NW,19022,10520,40.7 
OW,16025,7948,45.1 
SG,220279,120644,41.1 
SH,37252,19487,43.5 
SO,121262,58274,47.7 
SZ,68181,38229,39.9 
TG,119717,61567,44.9 
TI,163476,88008,39.6 
UR,15307,6871,46.2 
VD,349132,224818,30.4 
VS,150384,59217,55.2 
ZG,54467,34207,33.3 
ZH,680762,430597,27.5 
CH,3755689,2152134,36.6 
