region,totalHousing,tenantHousing,ownershipRate
AG,297250,144327,47.3 
AI,6508,2438,56.9 
AR,24008,11455,46.7 
BE,474162,261831,38.8 
BL,128674,65676,44.1 
BS,97280,71783,15.8 
FR,133498,69919,42.2 
GE,197549,145778,18.1 
GL,18064,8982,44.4 
GR,92439,46386,44.3 
JU,32391,13893,49.5 
LU,179274,106609,34.4 
NE,81531,53225,30.3 
NW,19112,10704,39.7 
OW,16192,7565,47.3 
SG,222993,123283,40.6 
SH,37719,20168,41.6 
SO,122859,59410,47.3 
SZ,69332,39239,39.4 
TG,121701,61969,45.4 
TI,163660,89868,38.1 
UR,15499,7589,42.9 
VD,353845,229882,29.8 
VS,152629,61637,54.5 
ZG,54949,34505,32.6 
ZH,691659,435067,27.7 
CH,3804777,2183189,36.4 
