region,totalHousing,tenantHousing,ownershipRate
AG,284230,133982,49.6 
AI,6307,2595,54.5 
AR,23441,10762,49.9 
BE,462787,251182,40.3 
BL,125955,61311,46.5 
BS,96169,69522,16.5 
FR,126338,64157,44.3 
GE,191498,142878,18.5 
GL,17614,8268,50.4 
GR,90136,45330,45.0 
JU,31142,12233,55.0 
LU,172115,100363,36.3 
NE,80864,52382,31.8 
NW,18542,10403,39.9 
OW,15675,7482,47.5 
SG,215902,117833,41.9 
SH,36487,19477,43.6 
SO,118611,53446,51.1 
SZ,66023,35073,43.3 
TG,116060,57193,47.9 
TI,162117,87113,40.0 
UR,14981,6391,50.6 
VD,339270,216456,31.7 
VS,145805,56267,56.8 
ZG,52998,32563,34.5 
ZH,664054,411747,29.4 
CH,3675121,2066409,38.2
