region,gdp
AG,42132
AI,1009
AR,3148
BE,78337
BL,20436
BS,35204
FR,18289
GE,50365
GL,2719
GR,14101
JU,4655
LU,26795
NE,15174
NW,3064
OW,2476
SG,37105
SH,6827
SO,17666
SZ,9313
TG,16406
TI,29564
UR,1896
VD,57010
VS,18302
ZG,19575
ZH,146281
CH,677848
