region,gdp
AG,43687
AI,1034
AR,3201
BE,80776
BL,20819
BS,38110
FR,19066
GE,53900
GL,2790
GR,14501
JU,5000
LU,27793
NE,16200
NW,3065
OW,2520
SG,38072
SH,7172
SO,18369
SZ,9720
TG,16992
TI,30521
UR,1963
VD,58384
VS,19308
ZG,19674
ZH,156883
CH,709522
