region,gdp_2020
AG,43590
AI,1043
AR,3190
BE,80209
BL,20567
BS,37168
FR,19180
GE,51976
GL,2763
GR,14519
JU,4687
LU,28176
NE,15343
NW,2867
OW,2564
SG,38041
SH,7244
SO,18029
SZ,9876
TG,17208
TI,29311
UR,1985
VD,56898
VS,19194
ZG,20029
ZH,149004
CH,694662
