region,equidsNumberCensus
AG,9027
AI,208
AR,690
BE,20171
BL,2677
BS,80
FR,6910
GE,2132
GL,414
GR,4928
JU,5218
LU,6031
NE,2439
NW,235
OW,511
SG,6560
SH,1170
SO,4471
SZ,1703
TG,6006
TI,2987
UR,171
VD,9860
VS,4259
ZG,1179
ZH,12268
CH,112442
