region,equidsNumberCensus
AG,8909
AI,223
AR,707
BE,19571
BL,2660
BS,90
FR,6527
GE,2042
GL,408
GR,4807
JU,5224
LU,5763
NE,2441
NW,236
OW,496
SG,6586
SH,1087
SO,4335
SZ,1645
TG,5724
TI,2729
UR,169
VD,9224
VS,3990
ZG,1123
ZH,11977
CH,109047
