region,equidsNumberCensus
AG,8991
AI,215
AR,676
BE,19806
BL,2725
BS,87
FR,6754
GE,2103
GL,404
GR,4866
JU,5154
LU,5889
NE,2426
NW,254
OW,511
SG,6616
SH,1145
SO,4387
SZ,1699
TG,5925
TI,2894
UR,170
VD,9864
VS,4160
ZG,1160
ZH,12234
CH,111333
