region,equidsNumberCensus
AG,9000
AI,186
AR,716
BE,20341
BL,2705
BS,85
FR,6868
GE,2152
GL,427
GR,4922
JU,5147
LU,6064
NE,2456
NW,231
OW,508
SG,6549
SH,1216
SO,4450
SZ,1670
TG,6009
TI,3079
UR,172
VD,9767
VS,4308
ZG,1134
ZH,12351
CH,112626
