region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,0.0843,0.0864,0.0824,0.0821,0.072,0.0633,0.0782,0.0866,0.1063
AI,0.0023,0.0021,0.0018,0.0024,0.0067,0.004,0.0024,0.0031,0.0033
AR,0.0071,0.0069,0.0081,0.0062,0.0127,0.0079,0.0073,0.0088,0.0074
BE,0.1225,0.1163,0.1795,0.1301,0.2006,0.1552,0.1259,0.1575,0.2
BL,0.0317,0.0323,0.0291,0.0336,0.0203,0.0227,0.0311,0.0267,0.0448
BS,0.0139,0.0142,0.0118,0.0186,0.0008,0.0091,0.0135,0.0076,0.0177
FR,0.0398,0.0407,0.0385,0.0367,0.0512,0.0348,0.0333,0.0542,0.0385
GE,0.0493,0.0474,0.0326,0.0454,0.0079,0.0236,0.0784,0.0189,0.0303
GL,0.0052,0.0051,0.0046,0.0058,0.0073,0.0092,0.0045,0.0069,0.0046
GR,0.026,0.0246,0.03,0.0312,0.0469,0.0586,0.0223,0.0409,0.0152
JU,0.0094,0.0095,0.0083,0.0091,0.0192,0.0104,0.0069,0.016,0.0059
LU,0.0488,0.0472,0.0542,0.051,0.0783,0.0446,0.0499,0.0525,0.0702
NE,0.02,0.0209,0.0216,0.0171,0.015,0.0176,0.017,0.0192,0.0109
NW,0.0059,0.0058,0.0066,0.0048,0.007,0.005,0.0062,0.0054,0.0091
OW,0.0053,0.0049,0.0063,0.0054,0.0109,0.0071,0.0053,0.0077,0.0097
SG,0.0617,0.0612,0.0597,0.0644,0.0807,0.074,0.0572,0.0687,0.0737
SH,0.0103,0.01,0.0134,0.0105,0.015,0.011,0.0105,0.0146,0.0101
SO,0.0338,0.0343,0.0331,0.0346,0.029,0.0304,0.0318,0.0341,0.0564
SZ,0.0222,0.0222,0.0223,0.0207,0.0287,0.0263,0.0204,0.021,0.0239
TG,0.0386,0.0378,0.0406,0.0394,0.0574,0.0434,0.0375,0.0516,0.0439
TI,0.0495,0.0483,0.0321,0.0528,0.0212,0.0447,0.0646,0.0322,0.019
UR,0.0045,0.0044,0.0059,0.0041,0.007,0.0076,0.0047,0.0059,0.0052
VD,0.087,0.0902,0.0744,0.0786,0.0703,0.0578,0.0806,0.0746,0.0403
VS,0.0476,0.0479,0.0458,0.0507,0.0398,0.0666,0.0445,0.0642,0.0118
ZG,0.0177,0.0187,0.0167,0.0196,0.0106,0.0126,0.013,0.0114,0.0128
ZH,0.1558,0.1606,0.1408,0.1449,0.0838,0.1525,0.1531,0.1097,0.129
CH,6160262.0,4623952.0,83054.0,440795.0,193834.0,74085.0,744542.0,444058.0,211480.0
