region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,505108,390489,5864,34217,13813,4417,56308,37043,19744 
AI,13978,9602,134,935,1291,274,1742,1317,543 
AR,43378,31812,598,2544,2400,583,5441,3718,1872 
BE,742794,531863,13123,54536,38800,10715,93757,67352,37674 
BL,191895,147610,2133,13617,3931,1664,22940,11830,8169 
BS,86113,66143,894,8193,158,671,10054,3357,4064 
FR,237578,183742,2793,15029,9899,2384,23731,23295,7451 
GE,303219,221714,2638,18992,1548,1720,56607,8332,5076 
GL,31522,23505,342,2368,1399,625,3283,2898,1001 
GR,157002,112223,2182,12966,9271,4045,16315,17462,3112 
JU,56873,43083,607,3680,3675,735,5093,6802,1219 
LU,295829,216708,3868,20941,14867,2987,36458,22285,12397 
NE,122894,97241,1671,7224,2965,1255,12538,8317,2136 
NW,35444,26656,484,1976,1342,347,4639,2309,1600
OW,31518,22288,484,2256,2046,503,3941,3193,1784
SG,372121,278804,4356,26624,15426,5199,41712,29614,13750 
SH,62026,45380,987,4348,2908,804,7599,6365,2026 
SO,203796,156191,2388,14270,5558,2126,23263,14685,10388 
SZ,131953,100054,1587,8429,5471,1756,14656,8969,4437 
TG,230743,170529,2916,16106,11006,3057,27129,21707,7852 
TI,306961,225337,2582,22736,4119,3185,49002,13889,4219 
UR,27219,19819,421,1691,1330,515,3443,2566,988 
VD,528486,414628,5665,32768,13707,4107,57611,32180,8257 
VS,285841,217251,3449,20607,7793,4761,31980,27304,2359
ZG,101899,80904,1189,7652,2030,885,9239,4894,2350 
ZH,947068,737247,10459,61796,16105,10793,110668,47720,23585 
CH,6053258,4570823,73814,416501,192858,70113,729149,429403,188053
