region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,498194,385642,5471,33225,13826,4268,55762,36441,18245
AI,13719,9456,115,901,1271,266,1710,1290,505
AR,42651,31345,548,2447,2382,575,5354,3635,1423
BE,735429,527314,12251,53482,38812,10474,93096,66272,35155
BL,189909,146631,2034,13228,3888,1612,22516,11691,7671
BS,85984,65956,857,8348,167,670,9986,3358,4438
FR,233023,180259,2698,14518,9878,2331,23339,22451,7135
GE,301824,221757,2623,18588,1569,1714,55573,8295,4470
GL,31064,23231,322,2311,1392,621,3187,2785,1067
GR,154880,110726,2066,12717,9266,4003,16102,17172,2889
JU,56049,42575,556,3576,3651,702,4989,6616,2016
LU,290486,213061,3615,20130,14614,2912,36154,21748,11596
NE,122267,96938,1621,7055,2961,1231,12461,8225,2098
NW,35059,26430,449,1946,1328,344,4562,2263,1350
OW,31082,22042,465,2165,2033,488,3889,3115,1574
SG,367986,275969,4133,25761,15300,5118,41705,29161,12320
SH,61259,44970,936,4156,2914,782,7501,6210,1961
SO,201746,155081,2242,13713,5507,2087,23116,14444,9661
SZ,129772,98477,1465,8094,5438,1715,14583,8844,4018
TG,225915,167035,2711,15664,10901,2959,26645,21169,7203
TI,305357,224565,2535,22379,4078,3074,48726,13632,4086
UR,26858,19563,391,1624,1322,498,3460,2504,949
VD,521827,410283,5401,31832,13736,4110,56465,31440,7950
VS,280362,213611,3236,19849,7810,4677,31179,26809,2601
ZG,99290,79137,1089,7174,2017,851,9022,4869,2122
ZH,938520,731975,9846,60683,16078,10639,109299,47174,21527
CH,5980512,4524029,69676,405566,192139,68721,720381,421613,176030
