region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,0.0834,0.0854,0.0794,0.0822,0.0716,0.063,0.0772,0.0863,0.105
AI,0.0023,0.0021,0.0018,0.0022,0.0067,0.0039,0.0024,0.0031,0.0029
AR,0.0072,0.007,0.0081,0.0061,0.0124,0.0083,0.0075,0.0087,0.01
BE,0.1227,0.1164,0.1778,0.1309,0.2012,0.1528,0.1286,0.1569,0.2003
BL,0.0317,0.0323,0.0289,0.0327,0.0204,0.0237,0.0315,0.0275,0.0434
BS,0.0142,0.0145,0.0121,0.0197,0.0008,0.0096,0.0138,0.0078,0.0216
FR,0.0392,0.0402,0.0378,0.0361,0.0513,0.034,0.0325,0.0542,0.0396
GE,0.0501,0.0485,0.0357,0.0456,0.008,0.0245,0.0776,0.0194,0.027
GL,0.0052,0.0051,0.0046,0.0057,0.0073,0.0089,0.0045,0.0067,0.0053
GR,0.0259,0.0246,0.0296,0.0311,0.0481,0.0577,0.0224,0.0407,0.0165
JU,0.0094,0.0094,0.0082,0.0088,0.0191,0.0105,0.007,0.0158,0.0065
LU,0.0489,0.0474,0.0524,0.0503,0.0771,0.0426,0.05,0.0519,0.0659
NE,0.0203,0.0213,0.0226,0.0173,0.0154,0.0179,0.0172,0.0194,0.0114
NW,0.0059,0.0058,0.0066,0.0047,0.007,0.0049,0.0064,0.0054,0.0085
OW,0.0052,0.0049,0.0066,0.0054,0.0106,0.0072,0.0054,0.0074,0.0095
SG,0.0615,0.061,0.059,0.0639,0.08,0.0742,0.0572,0.069,0.0731
SH,0.0102,0.0099,0.0134,0.0104,0.0151,0.0115,0.0104,0.0148,0.0108
SO,0.0337,0.0342,0.0324,0.0343,0.0288,0.0303,0.0319,0.0342,0.0552
SZ,0.0218,0.0219,0.0215,0.0202,0.0284,0.025,0.0201,0.0209,0.0236
TG,0.0381,0.0373,0.0395,0.0387,0.0571,0.0436,0.0372,0.0506,0.0418
TI,0.0507,0.0493,0.035,0.0546,0.0214,0.0454,0.0672,0.0323,0.0224
UR,0.0045,0.0043,0.0057,0.0041,0.0069,0.0073,0.0047,0.006,0.0053
VD,0.0873,0.0907,0.0767,0.0787,0.0711,0.0586,0.079,0.0749,0.0439
VS,0.0472,0.0475,0.0467,0.0495,0.0404,0.0679,0.0439,0.0636,0.0125
ZG,0.0168,0.0177,0.0161,0.0184,0.0105,0.0126,0.0127,0.0114,0.0125
ZH,0.1565,0.1613,0.1417,0.1484,0.0835,0.1539,0.1518,0.1111,0.1254
CH,6053258.0,4570823.0,73814.0,416501.0,192858.0,70113.0,729149.0,429403.0,188053.0
