region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,528456,0.7653,0.014,0.0701,0.0267,0.0091,0.1149,0.0738,0.0457
AI,14671,0.6773,0.0113,0.0733,0.0898,0.021,0.1273,0.0973,0.0532
AR,44351,0.7251,0.0163,0.0637,0.0555,0.0135,0.1258,0.0896,0.0463
BE,763059,0.7097,0.0207,0.077,0.0513,0.0153,0.1261,0.0934,0.0604
BL,197987,0.7594,0.0129,0.0778,0.02,0.0086,0.1213,0.0616,0.0533
BS,85030,0.7586,0.0122,0.0971,0.0018,0.0074,0.123,0.0399,0.0466
FR,249555,0.765,0.0139,0.0669,0.0399,0.0106,0.1036,0.0993,0.0351
GE,305052,0.7178,0.009,0.0673,0.005,0.0059,0.1951,0.0276,0.0241
GL,32690,0.7344,0.0134,0.0805,0.0435,0.0211,0.1071,0.0954,0.0302
GR,162452,0.7068,0.0166,0.0873,0.0557,0.0282,0.1054,0.1138,0.0212
JU,58738,0.75,0.0122,0.071,0.0638,0.0132,0.0899,0.1228,0.0224
LU,304656,0.7207,0.016,0.0752,0.0506,0.0113,0.1262,0.0769,0.0536
NE,123666,0.783,0.015,0.0624,0.0235,0.0108,0.1052,0.0692,0.0188
NW,36700,0.7441,0.0169,0.0593,0.0377,0.0107,0.1312,0.0672,0.0547
OW,32843,0.7039,0.0168,0.0738,0.065,0.0166,0.1239,0.1049,0.068
SG,386499,0.7402,0.0138,0.0747,0.041,0.0148,0.1155,0.0802,0.042
SH,64572,0.7222,0.018,0.0729,0.0457,0.0131,0.1282,0.1023,0.0346
SO,211262,0.7607,0.0138,0.0734,0.0267,0.011,0.1144,0.0728,0.0603
SZ,139503,0.749,0.0143,0.0674,0.0403,0.0143,0.1147,0.0679,0.0369
TG,242479,0.7298,0.015,0.0738,0.0462,0.0135,0.1217,0.0972,0.042
TI,304109,0.7313,0.0088,0.0784,0.0136,0.0111,0.1568,0.0468,0.0156
UR,28182,0.7216,0.0185,0.0665,0.0492,0.0205,0.1237,0.0957,0.0397
VD,543109,0.7739,0.012,0.0659,0.0251,0.0079,0.1152,0.062,0.0173
VS,298242,0.7503,0.0134,0.0781,0.0257,0.0169,0.1155,0.098,0.0082
ZG,112832,0.7894,0.0133,0.0814,0.0182,0.0086,0.0891,0.0462,0.0263
ZH,970446,0.7677,0.0128,0.067,0.0168,0.0117,0.1239,0.0504,0.0307
CH,6241141,0.7464,0.0141,0.0725,0.0313,0.0121,0.1236,0.0723,0.0368
