region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,513127,0.7699,0.0123,0.0692,0.027,0.0088,0.1128,0.0737,0.0414
AI,14193,0.686,0.0099,0.0686,0.0907,0.0199,0.1248,0.0953,0.044
AR,43717,0.7322,0.0144,0.0606,0.0557,0.0132,0.1238,0.0869,0.0436
BE,749289,0.7146,0.0187,0.0748,0.0518,0.0147,0.1255,0.0918,0.0539
BL,193540,0.7668,0.0116,0.0734,0.0204,0.0087,0.1191,0.0605,0.0472
BS,86100,0.7684,0.0106,0.095,0.0018,0.0079,0.1162,0.0389,0.05
FR,241614,0.7714,0.0124,0.0645,0.0411,0.01,0.1006,0.0976,0.0326
GE,303806,0.7258,0.0087,0.0647,0.0051,0.0057,0.1902,0.0276,0.0192
GL,31905,0.7415,0.0114,0.0767,0.044,0.0205,0.1059,0.0932,0.036
GR,158820,0.7134,0.0147,0.0836,0.058,0.026,0.1043,0.1123,0.02
JU,57449,0.7557,0.0114,0.0666,0.0647,0.013,0.0886,0.1209,0.0215
LU,297408,0.7276,0.0139,0.0733,0.0504,0.0105,0.1242,0.0766,0.0463
NE,122897,0.7892,0.0141,0.0603,0.0238,0.0102,0.1024,0.0678,0.0182
NW,35838,0.7504,0.0145,0.057,0.0376,0.0103,0.1303,0.0662,0.0488
OW,32025,0.7064,0.0156,0.072,0.065,0.0162,0.1248,0.1025,0.0601
SG,375953,0.7467,0.0122,0.073,0.0412,0.0142,0.1127,0.0798,0.038
SH,62625,0.7299,0.0168,0.0715,0.0466,0.0126,0.1227,0.1021,0.0336
SO,205825,0.7641,0.0123,0.0716,0.0273,0.0105,0.1143,0.0723,0.054
SZ,134140,0.7562,0.0127,0.0657,0.0409,0.0134,0.1111,0.0684,0.0352
TG,234550,0.7368,0.0136,0.0716,0.0471,0.0133,0.1176,0.0944,0.0367
TI,306401,0.7332,0.0085,0.0752,0.0135,0.0105,0.159,0.0461,0.0138
UR,27531,0.727,0.0166,0.0643,0.0485,0.0194,0.1243,0.0947,0.0373
VD,533615,0.7818,0.0111,0.0631,0.0256,0.0079,0.1105,0.0615,0.0159
VS,290611,0.7579,0.0123,0.0742,0.0266,0.0166,0.1124,0.0963,0.0085
ZG,107114,0.7938,0.0119,0.077,0.0191,0.0086,0.0897,0.0467,0.0241
ZH,953698,0.7767,0.0115,0.0654,0.017,0.0116,0.1179,0.0503,0.0265
CH,6113791,0.7528,0.0128,0.0701,0.0316,0.0117,0.1209,0.0714,0.0329
