region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,528456,404417,7378,37066,14104,4784,60707,38997,24169 
AI,14671,9937,166,1076,1317,308,1867,1427,781 
AR,44351,32161,724,2826,2462,597,5581,3976,2055 
BE,763059,541507,15772,58735,39159,11650,96236,71266,46126 
BL,197987,150347,2563,15404,3955,1704,24014,12193,10546 
BS,85030,64504,1035,8253,155,625,10458,3396,3960 
FR,249555,190922,3464,16703,9952,2654,25860,24787,8763 
GE,305052,218952,2739,20528,1514,1803,59516,8408,7360 
GL,32690,24008,439,2630,1421,691,3501,3117,987 
GR,162452,114824,2699,14177,9047,4575,17130,18484,3440 
JU,58738,44052,714,4169,3746,777,5280,7211,1316
LU,304656,219577,4865,22925,15406,3432,38451,23428,16317
NE,123666,96835,1854,7718,2911,1337,13011,8562,2328 
NW,36700,27310,620,2178,1384,393,4815,2466,2008
OW,32843,23117,553,2424,2136,544,4069,3444,2233
SG,386499,286099,5318,28857,15850,5721,44654,31001,16239
SH,64572,46634,1163,4705,2949,846,8275,6607,2236 
SO,211262,160717,2921,15498,5647,2318,24161,15389,12740 
SZ,139503,104485,1989,9407,5617,1998,16007,9466,5141
TG,242479,176961,3634,17901,11196,3273,29514,23573,10175 
TI,304109,222391,2661,23836,4141,3385,47695,14220,4753 
UR,28182,20337,520,1874,1387,579,3485,2697,1120 
VD,543109,420332,6530,35788,13617,4299,62543,33668,9382 
VS,298242,223780,4009,23283,7672,5048,34450,29238,2458 
ZG,112832,89070,1506,9179,2053,972,10052,5211,2964 
ZH,970446,745059,12457,65046,16284,11346,120254,48868,29824 
CH,6241141,4658335,88293,452186,195082,75659,771586,451100,229421
