region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,0.0847,0.0868,0.0836,0.082,0.0723,0.0632,0.0787,0.0864,0.1053
AI,0.0024,0.0021,0.0019,0.0024,0.0068,0.0041,0.0024,0.0032,0.0034
AR,0.0071,0.0069,0.0082,0.0062,0.0126,0.0079,0.0072,0.0088,0.009
BE,0.1223,0.1162,0.1786,0.1299,0.2007,0.154,0.1247,0.158,0.2011
BL,0.0317,0.0323,0.029,0.0341,0.0203,0.0225,0.0311,0.027,0.046
BS,0.0136,0.0138,0.0117,0.0183,0.0008,0.0083,0.0136,0.0075,0.0173
FR,0.04,0.041,0.0392,0.0369,0.051,0.0351,0.0335,0.0549,0.0382
GE,0.0489,0.047,0.031,0.0454,0.0078,0.0238,0.0771,0.0186,0.0321
GL,0.0052,0.0052,0.005,0.0058,0.0073,0.0091,0.0045,0.0069,0.0043
GR,0.026,0.0246,0.0306,0.0314,0.0464,0.0605,0.0222,0.041,0.015
JU,0.0094,0.0095,0.0081,0.0092,0.0192,0.0103,0.0068,0.016,0.0057
LU,0.0488,0.0471,0.0551,0.0507,0.079,0.0454,0.0498,0.0519,0.0711
NE,0.0198,0.0208,0.021,0.0171,0.0149,0.0177,0.0169,0.019,0.0101
NW,0.0059,0.0059,0.007,0.0048,0.0071,0.0052,0.0062,0.0055,0.0088
OW,0.0053,0.005,0.0063,0.0054,0.0109,0.0072,0.0053,0.0076,0.0097
SG,0.0619,0.0614,0.0602,0.0638,0.0812,0.0756,0.0579,0.0687,0.0708
SH,0.0103,0.01,0.0132,0.0104,0.0151,0.0112,0.0107,0.0146,0.0097
SO,0.0338,0.0345,0.0331,0.0343,0.0289,0.0306,0.0313,0.0341,0.0555
SZ,0.0224,0.0224,0.0225,0.0208,0.0288,0.0264,0.0207,0.021,0.0224
TG,0.0389,0.038,0.0412,0.0396,0.0574,0.0433,0.0383,0.0523,0.0444
TI,0.0487,0.0477,0.0301,0.0527,0.0212,0.0447,0.0618,0.0315,0.0207
UR,0.0045,0.0044,0.0059,0.0041,0.0071,0.0077,0.0045,0.006,0.0049
VD,0.087,0.0902,0.074,0.0791,0.0698,0.0568,0.0811,0.0746,0.0409
VS,0.0478,0.048,0.0454,0.0515,0.0393,0.0667,0.0446,0.0648,0.0107
ZG,0.0181,0.0191,0.0171,0.0203,0.0105,0.0128,0.013,0.0116,0.0129
ZH,0.1555,0.1599,0.1411,0.1438,0.0835,0.15,0.1559,0.1083,0.13
CH,6241141.0,4658335.0,88293.0,452186.0,195082.0,75659.0,771586.0,451100.0,229421.0
