region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,519246,399339,6845,36200,13947,4688,58227,38441,22476 
AI,14412,9832,147,1052,1296,296,1789,1397,697
AR,43888,32008,672,2745,2453,587,5423,3901,1563
BE,754390,537981,14905,57362,38877,11496,93769,69959,42286 
BL,195220,149263,2414,14803,3932,1680,23128,11841,9475 
BS,85723,65644,977,8215,153,674,10060,3388,3749 
FR,244983,188367,3196,16169,9915,2578,24758,24087,8152 
GE,303562,219219,2704,19992,1527,1746,58374,8387,6416 
GL,32168,23773,386,2546,1417,682,3364,3052,979 
GR,160267,113977,2489,13765,9089,4339,16608,18158,3207 
JU,58059,43719,692,4011,3723,768,5146,7126,1241 
LU,300642,218026,4501,22479,15170,3306,37160,23291,14850
NE,122957,96740,1797,7558,2901,1307,12654,8516,2303 
NW,36059,27014,545,2112,1364,373,4651,2392,1927
OW,32398,22884,524,2397,2111,525,3957,3418,2044
SG,379922,282870,4957,28395,15636,5484,42580,30503,15576 
SH,63313,46085,1113,4615,2901,817,7782,6478,2136 
SO,208333,158801,2748,15240,5629,2251,23664,15144,11920 
SZ,136531,102839,1854,9138,5564,1949,15187,9321,5064 
TG,237783,174808,3374,17379,11119,3216,27887,22921,9289 
TI,304845,223373,2667,23266,4112,3311,48116,14289,4022 
UR,27907,20192,486,1825,1366,564,3474,2624,1109 
VD,535684,416941,6177,34661,13635,4282,59988,33131,8521 
VS,293414,221496,3807,22365,7706,4932,33108,28506,2493 
ZG,109072,86373,1387,8651,2046,937,9678,5082,2712
ZH,959484,742388,11690,63854,16245,11297,114010,48705,27273 
CH,6160262,4623952,83054,440795,193834,74085,744542,444058,211480
