region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,519246,0.7691,0.0132,0.0697,0.0269,0.009,0.1121,0.074,0.0433
AI,14412,0.6822,0.0102,0.073,0.0899,0.0205,0.1241,0.0969,0.0484
AR,43888,0.7293,0.0153,0.0625,0.0559,0.0134,0.1236,0.0889,0.0356
BE,754390,0.7131,0.0198,0.076,0.0515,0.0152,0.1243,0.0927,0.0561
BL,195220,0.7646,0.0124,0.0758,0.0201,0.0086,0.1185,0.0607,0.0485
BS,85723,0.7658,0.0114,0.0958,0.0018,0.0079,0.1174,0.0395,0.0437
FR,244983,0.7689,0.013,0.066,0.0405,0.0105,0.1011,0.0983,0.0333
GE,303562,0.7222,0.0089,0.0659,0.005,0.0058,0.1923,0.0276,0.0211
GL,32168,0.739,0.012,0.0791,0.044,0.0212,0.1046,0.0949,0.0304
GR,160267,0.7112,0.0155,0.0859,0.0567,0.0271,0.1036,0.1133,0.02
JU,58059,0.753,0.0119,0.0691,0.0641,0.0132,0.0886,0.1227,0.0214
LU,300642,0.7252,0.015,0.0748,0.0505,0.011,0.1236,0.0775,0.0494
NE,122957,0.7868,0.0146,0.0615,0.0236,0.0106,0.1029,0.0693,0.0187
NW,36059,0.7492,0.0151,0.0586,0.0378,0.0103,0.129,0.0663,0.0534
OW,32398,0.7063,0.0162,0.074,0.0652,0.0162,0.1221,0.1055,0.0631
SG,379922,0.7445,0.013,0.0747,0.0412,0.0144,0.1121,0.0803,0.041
SH,63313,0.7279,0.0176,0.0729,0.0458,0.0129,0.1229,0.1023,0.0337
SO,208333,0.7622,0.0132,0.0732,0.027,0.0108,0.1136,0.0727,0.0572
SZ,136531,0.7532,0.0136,0.0669,0.0408,0.0143,0.1112,0.0683,0.0371
TG,237783,0.7352,0.0142,0.0731,0.0468,0.0135,0.1173,0.0964,0.0391
TI,304845,0.7327,0.0087,0.0763,0.0135,0.0109,0.1578,0.0469,0.0132
UR,27907,0.7235,0.0174,0.0654,0.0489,0.0202,0.1245,0.094,0.0397
VD,535684,0.7783,0.0115,0.0647,0.0255,0.008,0.112,0.0618,0.0159
VS,293414,0.7549,0.013,0.0762,0.0263,0.0168,0.1128,0.0972,0.0085
ZG,109072,0.7919,0.0127,0.0793,0.0188,0.0086,0.0887,0.0466,0.0249
ZH,959484,0.7737,0.0122,0.0666,0.0169,0.0118,0.1188,0.0508,0.0284
CH,6160262,0.7506,0.0135,0.0716,0.0315,0.012,0.1209,0.0721,0.0343
