region,total,personalVehicles,passengerVehicles,goodsVehicles,agriculturalVehicles,industrialVehicles,motorbikes,trailers,mopeds
AG,505108,0.7731,0.0116,0.0677,0.0273,0.0087,0.1115,0.0733,0.0391
AI,13978,0.6869,0.0096,0.0669,0.0924,0.0196,0.1246,0.0942,0.0388
AR,43378,0.7334,0.0138,0.0586,0.0553,0.0134,0.1254,0.0857,0.0432
BE,742794,0.716,0.0177,0.0734,0.0522,0.0144,0.1262,0.0907,0.0507
BL,191895,0.7692,0.0111,0.071,0.0205,0.0087,0.1195,0.0616,0.0426
BS,86113,0.7681,0.0104,0.0951,0.0018,0.0078,0.1168,0.039,0.0472
FR,237578,0.7734,0.0118,0.0633,0.0417,0.01,0.0999,0.0981,0.0314
GE,303219,0.7312,0.0087,0.0626,0.0051,0.0057,0.1867,0.0275,0.0167
GL,31522,0.7457,0.0108,0.0751,0.0444,0.0198,0.1041,0.0919,0.0318
GR,157002,0.7148,0.0139,0.0826,0.0591,0.0258,0.1039,0.1112,0.0198
JU,56873,0.7575,0.0107,0.0647,0.0646,0.0129,0.0896,0.1196,0.0214
LU,295829,0.7325,0.0131,0.0708,0.0503,0.0101,0.1232,0.0753,0.0419
NE,122894,0.7913,0.0136,0.0588,0.0241,0.0102,0.102,0.0677,0.0174
NW,35444,0.7521,0.0137,0.0557,0.0379,0.0098,0.1309,0.0651,0.0451
OW,31518,0.7072,0.0154,0.0716,0.0649,0.016,0.125,0.1013,0.0566
SG,372121,0.7492,0.0117,0.0715,0.0415,0.014,0.1121,0.0796,0.037
SH,62026,0.7316,0.0159,0.0701,0.0469,0.013,0.1225,0.1026,0.0327
SO,203796,0.7664,0.0117,0.07,0.0273,0.0104,0.1141,0.0721,0.051
SZ,131953,0.7583,0.012,0.0639,0.0415,0.0133,0.1111,0.068,0.0336
TG,230743,0.739,0.0126,0.0698,0.0477,0.0132,0.1176,0.0941,0.034
TI,306961,0.7341,0.0084,0.0741,0.0134,0.0104,0.1596,0.0452,0.0137
UR,27219,0.7281,0.0155,0.0621,0.0489,0.0189,0.1265,0.0943,0.0363
VD,528486,0.7846,0.0107,0.062,0.0259,0.0078,0.109,0.0609,0.0156
VS,285841,0.76,0.0121,0.0721,0.0273,0.0167,0.1119,0.0955,0.0083
ZG,101899,0.794,0.0117,0.0751,0.0199,0.0087,0.0907,0.048,0.0231
ZH,947068,0.7785,0.011,0.0652,0.017,0.0114,0.1169,0.0504,0.0249
CH,6053258,0.7551,0.0122,0.0688,0.0319,0.0116,0.1205,0.0709,0.0311
