region,equidsNumberSummering
AI,0
AR,4
BE,455
FR,220
GL,25
GR,835
JU,73
LU,0
NE,88
NW,11
OW,13
SG,43
SO,58
SZ,104
TI,101
UR,9
VD,140
VS,179
ZG,0
CH,2375
