region,equidsNumberSummering
AI,0
AR,12
BE,658
FR,265
GL,25
GR,1076
JU,1152
LU,13
NE,113
NW,13
OW,33
SG,53
SO,68
SZ,141
TI,225
UR,11
VD,181
VS,326
ZG,0
CH,4385
