region,equidsNumberSummering
AI,0
AR,4
BE,476
FR,218
GL,27
GR,889
JU,1109
LU,5
NE,88
NW,18
OW,16
SG,61
SO,56
SZ,110
TI,140
UR,7
VD,184
VS,200
ZG,0
CH,3681
