region,equidsNumberSummering
AI,0
AR,9
BE,737
FR,239
GL,24
GR,1029
JU,1217
LU,16
NE,117
NW,21
OW,21
SG,65
SO,84
SZ,138
TI,222
UR,11
VD,166
VS,315
ZG,0
CH,4452
