Year,Month,AG,AI,AR,BE,BL,BS,FL,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,??
2019,11,45,0,0,32,7,0,0,18,9,0,7,0,9,0,0,0,18,0,7,0,25,7,0,15,6,0,59,0
2019,12,0,0,0,15,0,0,0,8,0,0,0,0,5,0,0,0,9,0,6,12,7,0,0,14,0,0,12,0
2020,1,32,0,0,58,11,0,0,23,20,0,10,5,20,5,0,0,15,6,9,5,20,12,0,36,7,0,68,0
2020,2,22,0,0,50,24,0,0,19,10,0,9,0,17,0,0,0,13,6,18,0,14,6,0,15,0,5,35,0
2020,3,27,0,0,52,13,0,0,15,6,0,6,0,9,5,0,0,16,5,20,0,27,12,0,18,11,0,66,0
2020,4,31,0,0,28,0,0,0,9,0,0,6,0,13,0,0,0,18,6,14,0,13,0,0,13,0,0,42,0
2020,5,24,0,0,43,6,0,0,13,10,0,0,0,20,7,0,0,12,5,5,6,14,16,0,22,6,9,52,0
2020,6,43,0,0,45,0,0,0,15,27,0,10,0,24,7,0,0,21,11,15,0,19,9,0,25,20,0,83,0
2020,7,25,0,0,55,6,0,0,23,16,0,0,5,16,0,0,0,21,0,20,0,27,14,0,20,7,8,74,0
2020,8,38,0,0,51,0,0,0,28,11,0,14,17,16,0,0,0,23,8,15,5,21,20,0,32,11,0,74,0
2020,9,26,0,0,38,10,0,0,20,18,0,6,5,8,0,0,0,13,0,5,0,20,9,0,25,0,5,50,0
2020,10,81,0,0,70,13,0,0,23,22,0,20,15,29,6,0,0,36,11,21,0,47,36,0,37,8,11,79,0
2020,11,34,0,0,31,6,0,0,7,12,0,8,0,11,7,0,0,9,0,6,0,8,16,0,21,10,0,36,0
2020,12,15,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,5,0,17,0,0,16,0
2021,1,55,0,7,78,14,0,5,27,17,0,14,8,18,8,0,0,22,8,16,9,30,15,0,48,11,8,68,0
2021,2,26,0,0,51,0,0,0,31,15,0,5,0,15,0,0,0,22,0,10,0,17,0,0,25,6,0,46,0
2021,3,57,0,0,38,6,0,0,17,18,0,11,0,17,6,0,0,18,9,13,0,28,13,0,28,16,0,51,0
