Year;Month;AG;AI;AR;BE;BL;BS;FL;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH;??
2018;12;;0;0;13;0;0;0;;;0;;;;;0;0;;0;;;8;;;6;;0;7;0
2019;1;72;0;;57;11;;0;31;14;0;14;6;19;7;0;;36;7;25;5;29;8;;49;11;5;86;
2019;2;22;0;;47;10;0;0;27;12;;;;10;6;0;0;14;;9;;19;12;0;26;6;;46;0
2019;3;41;0;;33;;0;6;11;9;;8;7;8;6;0;;22;;12;10;19;9;0;42;9;;75;0
2019;4;44;0;;58;12;0;;16;15;;13;0;17;;0;0;25;8;16;;29;7;0;35;6;;50;
2019;5;37;;;41;6;0;;18;16;;6;;12;8;0;0;15;;9;6;10;;0;23;7;8;64;0
2019;6;28;0;;38;11;0;;15;8;;7;;23;;0;;19;;9;7;15;8;0;29;6;;54;0
2019;7;20;0;;43;12;;;10;7;0;;;14;6;0;0;12;;6;;14;12;0;28;;;29;0
2019;8;27;0;;51;10;0;;13;25;;6;;25;;0;0;8;;6;;16;12;0;22;;;47;0
2019;9;28;0;0;23;8;0;0;8;17;0;7;0;12;;;0;23;;9;;8;15;;20;;;55;0
2019;10;55;0;6;76;13;0;0;22;10;;9;;24;;0;;24;6;16;;30;30;;36;10;;83;0
2019;11;45;;0;32;7;0;0;18;9;0;7;;9;;0;0;18;0;7;;25;7;;15;6;;59;0
2019;12;;0;0;15;;0;;8;;0;;0;5;;0;;9;;6;12;7;;0;14;;0;12;0
2020;1;32;0;;58;11;0;0;23;20;0;10;5;20;5;0;;15;6;9;5;20;12;0;36;7;;68;0
2020;2;22;0;;50;24;0;;19;10;0;9;;17;;0;0;13;6;18;;14;6;0;15;;5;35;0
2020;3;27;;0;52;13;0;;15;6;0;6;;9;5;0;0;16;5;20;;27;12;;18;11;;66;0
2020;4;31;;0;28;;0;0;9;;0;6;;13;;;;18;6;14;;13;;0;13;;;42;0
2020;5;24;0;;43;6;0;;13;10;;;;20;7;0;0;12;5;5;6;14;16;;22;6;9;52;0
2020;6;43;0;;45;;0;;15;27;0;10;0;24;7;0;0;21;11;15;;19;9;0;25;20;;83;
2020;7;25;0;;55;6;0;0;23;16;;;5;16;;;;21;;20;;27;14;0;20;7;8;74;0
2020;8;38;;;51;;0;;28;11;;14;17;16;;0;;23;8;15;5;21;20;0;32;11;;74;0
2020;9;26;;;38;10;0;0;20;18;;6;5;8;;0;;13;;5;;20;9;0;25;;5;50;0
2020;10;81;;0;70;13;0;;23;22;0;20;15;29;6;;0;36;11;21;;47;36;;37;8;11;79;0
2020;11;34;0;;31;6;0;;7;12;0;8;;11;7;0;;9;;6;;8;16;0;21;10;;36;0
2020;12;15;0;0;7;;0;;;6;0;;0;;0;0;;;0;;0;11;5;;17;;;16;0
2021;1;55;0;7;78;14;0;5;27;17;;14;8;18;8;0;0;22;8;16;9;30;15;;48;11;8;68;0
2021;2;26;0;;51;;;;31;15;0;5;0;15;0;0;;22;;10;;17;;0;25;6;;46;0
2021;3;57;0;;38;6;0;;17;18;0;11;;17;6;;;18;9;13;;28;13;0;28;16;;51;0
2021;4;50;0;;39;5;0;;9;8;;;;17;;;0;21;6;14;10;12;15;0;30;8;;67;0
2021;5;42;0;;44;8;0;;27;17;0;7;;21;;0;0;21;;16;5;19;17;0;40;8;5;83;0
2021;6;40;0;;58;13;0;;28;10;;18;0;16;;;0;21;;8;6;20;12;0;26;;;63;0
2021;7;43;0;;41;13;0;;24;21;;10;;13;5;;;20;;15;;19;16;0;46;6;;44;0
2021;8;30;;7;49;8;;0;27;10;;5;;14;;0;0;16;;8;;26;19;0;30;11;10;62;0
2021;9;14;0;0;13;;0;0;13;;0;;0;;;0;0;;;;;10;7;;17;;;20;0
2021;10;68;;0;96;15;;0;40;21;;18;8;24;16;0;0;32;10;21;13;52;24;0;52;19;7;90;0
2021;11;13;0;0;23;;0;0;18;;0;0;;8;;0;;6;;6;;7;7;0;11;;0;31;0
2021;12;5;0;0;8;;0;;;;;;;;;0;0;5;;;;;;0;9;;;17;
2022;1;44;;;66;8;;;55;24;0;12;5;22;;0;;20;;23;6;29;13;0;45;20;;80;0
2022;2;38;0;;50;11;0;0;18;10;;;;8;5;0;0;20;;7;;16;9;0;22;7;;59;0
2022;3;40;;;41;5;0;;31;5;0;8;;24;7;0;0;10;0;6;;32;16;;31;11;;43;0
2022;4;28;0;;36;14;0;;39;21;;15;;15;5;0;;10;;7;;22;25;0;24;7;;56;0
2022;5;23;0;;39;6;;0;16;9;;11;;11;;;;25;;9;;14;10;0;29;9;;62;0
2022;6;23;0;0;25;6;0;;20;11;;13;8;15;;0;0;8;6;13;;12;20;0;21;15;5;56;0
2022;7;23;0;;29;8;0;0;19;9;0;8;;7;5;0;;17;;;;15;10;0;14;5;0;40;0
2022;8;25;0;;37;9;0;;12;9;;;;10;5;0;0;11;;13;6;23;10;0;22;11;7;55;0
2022;9;11;0;;15;;0;0;16;5;0;;;;0;0;0;9;;;;11;;0;12;10;0;13;0
2022;10;36;0;;54;9;0;;18;17;;9;5;19;;0;0;44;6;13;;28;19;;34;14;;50;0
2022;11;15;0;0;19;22;0;0;9;5;;;;;;0;0;7;;;0;7;6;0;10;;0;34;0
