region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,663462,134820,415503,113139,333364,330098,499712,163750,281253,299038,30097,52051,36,877,100,361839,202751,98872
AI,16003,3511,9527,2965,8237,7766,14230,1773,7311,6974,851,853,1,11,2,0,0,16003
AR,54954,11145,33434,10375,27778,27176,46044,8910,23260,24154,2851,4604,2,80,3,15730,26328,12896
BE,1026513,195733,622339,208441,503789,522724,861614,164899,443834,438530,56089,86136,58,1610,223,537279,228035,261199
BL,285624,54894,169564,61166,140142,145482,221990,63634,114577,131232,15659,23510,10,589,44,194396,84267,6961
BS,193070,32634,121641,38795,93212,99858,124026,69044,91119,71579,10856,18773,20,652,66,193070,0,0
FR,311914,70816,193603,47495,156334,155580,242087,69827,141835,131932,13448,24230,34,385,43,103226,128666,80022
GE,489524,103456,305371,80697,237112,252412,292641,196883,228827,192187,20410,46530,70,1328,161,446042,43482,0
GL,40147,7773,24584,7790,20329,19818,30650,9497,16683,17945,2329,3148,2,36,4,30572,0,9575
GR,197550,36079,121002,40469,98853,98697,160932,36618,83644,87645,10710,15346,13,169,18,64339,24115,109096
JU,73122,15693,42677,14752,36158,36964,62471,10651,31418,31147,4544,5929,7,67,8,25033,13852,34237
LU,403397,82723,251486,69188,200897,202500,329264,74133,183772,173311,18609,27087,23,539,47,212163,45057,146177
NE,178567,38110,107176,33281,87312,91255,132878,45689,78415,71940,9830,18152,13,191,26,104666,55652,18249
NW,42556,7863,26417,8276,21795,20761,36521,6035,18386,18915,1978,3233,4,35,3,15891,5682,20983
OW,37378,7639,23026,6713,18965,18413,31892,5486,16571,16616,1762,2400,1,27,1,10233,0,27145
SG,502552,104274,309354,88924,251526,251026,382829,119723,217268,220661,24299,39721,22,519,44,348830,65680,88042
SH,80769,15243,48813,16713,40020,40749,59889,20880,32985,36035,4616,6996,2,125,9,46555,25971,8243
SO,269441,51712,166200,51529,134300,135141,210240,59201,112377,118905,14383,23344,15,368,40,162403,69702,37336
SZ,155863,30881,98333,26649,79852,76011,123597,32266,67605,69135,6974,11948,5,183,11,94847,32888,28128
TG,270709,55450,169396,45863,136199,134510,204378,66331,114727,120577,12401,22625,11,333,32,125473,56391,88845
TI,354375,65054,211291,78030,172877,181498,254828,99547,147721,155287,21432,29477,39,375,42,246930,79034,28411
UR,36145,7377,21652,7116,18427,17718,31850,4295,15449,16834,2001,1818,8,32,2,22132,9815,4198
VD,784822,172689,483842,128291,385389,399433,520957,263865,361457,319592,34549,67313,59,1639,183,486030,216920,81872
VS,339176,67739,206913,64524,168072,171104,260444,78732,144112,149235,18259,27145,37,325,48,175361,80642,83173
ZG,123948,25113,78376,20459,62684,61264,89809,34139,54199,55359,4796,9359,12,206,15,113636,10312,0
ZH,1487969,293045,943505,251419,739814,748155,1092631,395338,681544,610364,63250,127472,93,4623,555,1146031,331802,10136
CH,8419550,1691466,5205025,1523059,4173437,4246113,6318404,2101146,3710349,3585129,406983,699200,597,15324,1730,5282707,1837044,1299799
