region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,670988,0.2026,0.6239,0.1735,0.5025,0.4975,0.7507,0.2493,0.4248,0.4493,0.045,0.0792,0.0,0.0014,0.0002,0.5455,0.3049,0.1495
AI,16105,0.216,0.5969,0.1871,0.5147,0.4853,0.8861,0.1139,0.4545,0.4364,0.0531,0.0551,0.0001,0.0006,0.0002,0.0,0.0,1.0
AR,55178,0.2021,0.606,0.1919,0.5053,0.4947,0.8369,0.1631,0.425,0.4374,0.0515,0.0845,0.0,0.0014,0.0001,0.286,0.4799,0.2341
BE,1031126,0.1905,0.6039,0.2056,0.4906,0.5094,0.8383,0.1617,0.4342,0.4247,0.0543,0.0849,0.0001,0.0016,0.0003,0.5244,0.2216,0.254
BL,287023,0.192,0.5912,0.2168,0.4905,0.5095,0.7747,0.2253,0.4024,0.4575,0.0545,0.0832,0.0,0.0022,0.0002,0.681,0.2949,0.0242
BS,193908,0.1708,0.6294,0.1998,0.4833,0.5167,0.6402,0.3598,0.4759,0.3685,0.0547,0.0968,0.0001,0.0035,0.0003,1.0,0.0,0.0
FR,315074,0.2247,0.6202,0.1551,0.5011,0.4989,0.7749,0.2251,0.4568,0.4198,0.0428,0.0791,0.0001,0.0013,0.0001,0.329,0.4204,0.2506
GE,495249,0.2112,0.6247,0.1641,0.4848,0.5152,0.599,0.401,0.4719,0.3882,0.0411,0.0954,0.0001,0.0028,0.0004,0.9108,0.0892,0.0
GL,40349,0.1923,0.6104,0.1972,0.5062,0.4938,0.7593,0.2407,0.4164,0.4446,0.0574,0.0804,0.0,0.001,0.0001,0.7625,0.0,0.2375
GR,197888,0.1814,0.6096,0.209,0.5005,0.4995,0.8135,0.1865,0.4237,0.4421,0.0542,0.0789,0.0001,0.0009,0.0001,0.3249,0.1227,0.5525
JU,73290,0.2121,0.582,0.2058,0.495,0.505,0.853,0.147,0.4317,0.4216,0.0618,0.0836,0.0001,0.0011,0.0001,0.3414,0.1916,0.467
LU,406506,0.2039,0.6221,0.174,0.4982,0.5018,0.8155,0.1845,0.456,0.4284,0.046,0.068,0.0001,0.0015,0.0001,0.5244,0.1128,0.3628
NE,177964,0.2132,0.5988,0.188,0.4894,0.5106,0.7463,0.2537,0.4424,0.3992,0.0545,0.1025,0.0001,0.0012,0.0002,0.5843,0.3147,0.101
NW,42969,0.1831,0.6195,0.1974,0.5121,0.4879,0.8544,0.1456,0.4327,0.4435,0.0461,0.0766,0.0001,0.001,0.0001,0.3732,0.133,0.4938
OW,37575,0.2028,0.6142,0.1829,0.5065,0.4935,0.8531,0.1469,0.4415,0.445,0.0471,0.0655,0.0,0.0009,0.0,0.2724,0.0,0.7276
SH,81351,0.1881,0.602,0.2099,0.4948,0.5052,0.7398,0.2602,0.4098,0.4444,0.0565,0.0874,0.0,0.0017,0.0001,0.5751,0.3228,0.1021
SG,504686,0.2064,0.6139,0.1798,0.5007,0.4993,0.7604,0.2396,0.4327,0.4379,0.0481,0.08,0.0,0.0012,0.0001,0.6934,0.1311,0.1754
SO,271432,0.1908,0.6159,0.1933,0.4992,0.5008,0.7767,0.2233,0.4178,0.4404,0.0525,0.0876,0.0,0.0015,0.0002,0.6031,0.2579,0.139
SZ,157301,0.1955,0.6301,0.1745,0.5125,0.4875,0.7891,0.2109,0.4333,0.4431,0.0445,0.0777,0.0,0.0013,0.0001,0.6072,0.2126,0.1801
TG,273801,0.2035,0.6239,0.1726,0.5034,0.4966,0.7528,0.2472,0.4235,0.4453,0.0453,0.0844,0.0,0.0013,0.0001,0.4632,0.2081,0.3287
TI,353709,0.1831,0.5938,0.2231,0.4877,0.5123,0.7213,0.2787,0.4187,0.435,0.0605,0.0844,0.0001,0.0012,0.0001,0.7121,0.2149,0.0731
UR,36299,0.2027,0.5966,0.2007,0.5103,0.4897,0.8796,0.1204,0.4281,0.4647,0.0548,0.0511,0.0002,0.0009,0.0001,0.615,0.2698,0.1152
VD,793129,0.2199,0.6164,0.1636,0.4911,0.5089,0.6646,0.3354,0.4644,0.4032,0.0433,0.0864,0.0001,0.0023,0.0003,0.6191,0.2767,0.1042
VS,341463,0.1986,0.6081,0.1933,0.4954,0.5046,0.7705,0.2295,0.4261,0.4366,0.0537,0.0821,0.0001,0.0011,0.0002,0.5486,0.2381,0.2133
ZG,125421,0.2023,0.6306,0.1672,0.5056,0.4944,0.721,0.279,0.4383,0.4455,0.0387,0.0755,0.0001,0.0018,0.0001,0.9174,0.0826,0.0
ZH,1504346,0.1973,0.6329,0.1698,0.4974,0.5026,0.7326,0.2674,0.4608,0.4077,0.0419,0.0858,0.0001,0.0033,0.0004,0.7701,0.2231,0.0068
CH,8484130,0.2004,0.6168,0.1827,0.4958,0.5042,0.7494,0.2506,0.4426,0.4234,0.0479,0.0838,0.0001,0.0019,0.0002,0.6293,0.2183,0.1524
