region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,0.0788,0.0797,0.0798,0.0743,0.0799,0.0777,0.0791,0.0779,0.0758,0.0834,0.074,0.0744,0.0603,0.0572,0.0578,0.0685,0.1104,0.0761
AI,0.0019,0.0021,0.0018,0.0019,0.002,0.0018,0.0023,0.0008,0.002,0.0019,0.0021,0.0012,0.0017,0.0007,0.0012,0.0,0.0,0.0123
AR,0.0065,0.0066,0.0064,0.0068,0.0067,0.0064,0.0073,0.0042,0.0063,0.0067,0.007,0.0066,0.0034,0.0052,0.0017,0.003,0.0143,0.0099
BE,0.1219,0.1157,0.1196,0.1369,0.1207,0.1231,0.1364,0.0785,0.1196,0.1223,0.1378,0.1232,0.0972,0.1051,0.1289,0.1017,0.1241,0.201
BL,0.0339,0.0325,0.0326,0.0402,0.0336,0.0343,0.0351,0.0303,0.0309,0.0366,0.0385,0.0336,0.0168,0.0384,0.0254,0.0368,0.0459,0.0054
BS,0.0229,0.0193,0.0234,0.0255,0.0223,0.0235,0.0196,0.0329,0.0246,0.02,0.0267,0.0268,0.0335,0.0425,0.0382,0.0365,0.0,0.0
FR,0.037,0.0419,0.0372,0.0312,0.0375,0.0366,0.0383,0.0332,0.0382,0.0368,0.033,0.0347,0.057,0.0251,0.0249,0.0195,0.07,0.0616
GE,0.0581,0.0612,0.0587,0.053,0.0568,0.0594,0.0463,0.0937,0.0617,0.0536,0.0501,0.0665,0.1173,0.0867,0.0931,0.0844,0.0237,0.0
GL,0.0048,0.0046,0.0047,0.0051,0.0049,0.0047,0.0049,0.0045,0.0045,0.005,0.0057,0.0045,0.0034,0.0023,0.0023,0.0058,0.0,0.0074
GR,0.0235,0.0213,0.0232,0.0266,0.0237,0.0232,0.0255,0.0174,0.0225,0.0244,0.0263,0.0219,0.0218,0.011,0.0104,0.0122,0.0131,0.0839
JU,0.0087,0.0093,0.0082,0.0097,0.0087,0.0087,0.0099,0.0051,0.0085,0.0087,0.0112,0.0085,0.0117,0.0044,0.0046,0.0047,0.0075,0.0263
LU,0.0479,0.0489,0.0483,0.0454,0.0481,0.0477,0.0521,0.0353,0.0495,0.0483,0.0457,0.0387,0.0385,0.0352,0.0272,0.0402,0.0245,0.1125
NE,0.0212,0.0225,0.0206,0.0219,0.0209,0.0215,0.021,0.0217,0.0211,0.0201,0.0242,0.026,0.0218,0.0125,0.015,0.0198,0.0303,0.014
NW,0.0051,0.0046,0.0051,0.0054,0.0052,0.0049,0.0058,0.0029,0.005,0.0053,0.0049,0.0046,0.0067,0.0023,0.0017,0.003,0.0031,0.0161
OW,0.0044,0.0045,0.0044,0.0044,0.0045,0.0043,0.005,0.0026,0.0045,0.0046,0.0043,0.0034,0.0017,0.0018,0.0006,0.0019,0.0,0.0209
SG,0.0597,0.0616,0.0594,0.0584,0.0603,0.0591,0.0606,0.057,0.0586,0.0615,0.0597,0.0568,0.0369,0.0339,0.0254,0.066,0.0358,0.0677
SH,0.0096,0.009,0.0094,0.011,0.0096,0.0096,0.0095,0.0099,0.0089,0.0101,0.0113,0.01,0.0034,0.0082,0.0052,0.0088,0.0141,0.0063
SO,0.032,0.0306,0.0319,0.0338,0.0322,0.0318,0.0333,0.0282,0.0303,0.0332,0.0353,0.0334,0.0251,0.024,0.0231,0.0307,0.0379,0.0287
SZ,0.0185,0.0183,0.0189,0.0175,0.0191,0.0179,0.0196,0.0154,0.0182,0.0193,0.0171,0.0171,0.0084,0.0119,0.0064,0.018,0.0179,0.0216
TG,0.0322,0.0328,0.0325,0.0301,0.0326,0.0317,0.0323,0.0316,0.0309,0.0336,0.0305,0.0324,0.0184,0.0217,0.0185,0.0238,0.0307,0.0684
TI,0.0421,0.0385,0.0406,0.0512,0.0414,0.0427,0.0403,0.0474,0.0398,0.0433,0.0527,0.0422,0.0653,0.0245,0.0243,0.0467,0.043,0.0219
UR,0.0043,0.0044,0.0042,0.0047,0.0044,0.0042,0.005,0.002,0.0042,0.0047,0.0049,0.0026,0.0134,0.0021,0.0012,0.0042,0.0053,0.0032
VD,0.0932,0.1021,0.093,0.0842,0.0923,0.0941,0.0825,0.1256,0.0974,0.0891,0.0849,0.0963,0.0988,0.107,0.1058,0.092,0.1181,0.063
VS,0.0403,0.04,0.0398,0.0424,0.0403,0.0403,0.0412,0.0375,0.0388,0.0416,0.0449,0.0388,0.062,0.0212,0.0277,0.0332,0.0439,0.064
ZG,0.0147,0.0148,0.0151,0.0134,0.015,0.0144,0.0142,0.0162,0.0146,0.0154,0.0118,0.0134,0.0201,0.0134,0.0087,0.0215,0.0056,0.0
ZH,0.1767,0.1732,0.1813,0.1651,0.1773,0.1762,0.1729,0.1882,0.1837,0.1702,0.1554,0.1823,0.1558,0.3017,0.3208,0.2169,0.1806,0.0078
CH,8419550.0,1691466.0,5205025.0,1523059.0,4173437.0,4246113.0,6318404.0,2101146.0,3710349.0,3585129.0,406983.0,699200.0,597.0,15324.0,1730.0,5282707.0,1837044.0,1299799.0
