region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,685845,0.2024,0.6183,0.1794,0.5026,0.4974,0.747,0.253,0.4271,0.445,0.0445,0.0816,0.0,0.0016,0.0002,0.5467,0.3037,0.1496
AI,16128,0.2111,0.5931,0.1957,0.5148,0.4852,0.8874,0.1126,0.4517,0.4356,0.0529,0.059,0.0001,0.0007,0.0001,0.0,0.0,1.0
AR,55445,0.202,0.5987,0.1993,0.5039,0.4961,0.8354,0.1646,0.4264,0.4358,0.05,0.0862,0.0,0.0015,0.0001,0.2843,0.4818,0.2339
BE,1039474,0.1902,0.5991,0.2106,0.4908,0.5092,0.8343,0.1657,0.4378,0.4201,0.0531,0.0869,0.0,0.0018,0.0003,0.5255,0.2219,0.2526
BL,289468,0.1916,0.5866,0.2218,0.4902,0.5098,0.769,0.231,0.405,0.4529,0.0544,0.085,0.0,0.0024,0.0003,0.6803,0.296,0.0237
BS,195844,0.1734,0.6286,0.1979,0.4851,0.5149,0.6336,0.3664,0.4826,0.3632,0.0521,0.0976,0.0001,0.0038,0.0004,1.0,0.0,0.0
FR,321783,0.2218,0.6181,0.16,0.5008,0.4992,0.7717,0.2283,0.4604,0.4139,0.0421,0.0819,0.0001,0.0015,0.0002,0.3268,0.421,0.2523
GE,504128,0.2104,0.6254,0.1642,0.4844,0.5156,0.6004,0.3996,0.4794,0.3802,0.0402,0.0965,0.0002,0.0031,0.0005,0.9117,0.0883,0.0
GL,40590,0.1919,0.6045,0.2035,0.5062,0.4938,0.7579,0.2421,0.4176,0.4417,0.0565,0.0828,0.0001,0.0013,0.0001,0.7671,0.0,0.2329
GR,199021,0.1778,0.6053,0.2169,0.501,0.499,0.8122,0.1878,0.4247,0.4377,0.0538,0.0824,0.0001,0.0011,0.0001,0.3252,0.1239,0.5509
JU,73584,0.2082,0.579,0.2128,0.4947,0.5053,0.8528,0.1472,0.436,0.413,0.0617,0.0879,0.0001,0.0011,0.0001,0.337,0.2003,0.4627
LU,413120,0.2029,0.6186,0.1785,0.4986,0.5014,0.8121,0.1879,0.4572,0.4255,0.0451,0.0702,0.0001,0.0017,0.0002,0.5257,0.1129,0.3614
NE,176496,0.2096,0.5979,0.1925,0.4901,0.5099,0.7474,0.2526,0.4493,0.39,0.0538,0.1053,0.0001,0.0013,0.0002,0.5817,0.2967,0.1216
NW,43087,0.181,0.61,0.2091,0.5118,0.4882,0.8522,0.1478,0.4308,0.4399,0.0469,0.0812,0.0001,0.001,0.0001,0.3712,0.1341,0.4948
OW,37930,0.2001,0.6069,0.193,0.5051,0.4949,0.8532,0.1468,0.4389,0.4457,0.0475,0.0667,0.0001,0.001,0.0001,0.2757,0.0,0.7243
SG,510734,0.2048,0.6099,0.1853,0.5013,0.4987,0.7556,0.2444,0.4336,0.4352,0.0477,0.0819,0.0001,0.0013,0.0001,0.6931,0.1313,0.1756
SH,82348,0.187,0.5987,0.2143,0.4951,0.5049,0.7394,0.2606,0.4104,0.4434,0.0555,0.0887,0.0,0.0018,0.0002,0.5716,0.3258,0.1026
SO,275247,0.1902,0.6111,0.1987,0.5001,0.4999,0.7706,0.2294,0.4206,0.4366,0.0515,0.0893,0.0001,0.0016,0.0003,0.6033,0.2561,0.1406
SZ,160480,0.1928,0.6257,0.1815,0.5123,0.4877,0.7812,0.2188,0.4333,0.4405,0.044,0.0804,0.0,0.0016,0.0002,0.6081,0.2124,0.1795
TG,279547,0.2025,0.6181,0.1794,0.504,0.496,0.7485,0.2515,0.4243,0.4434,0.0447,0.086,0.0,0.0014,0.0002,0.463,0.2074,0.3296
TI,351491,0.1796,0.5908,0.2296,0.4869,0.5131,0.7244,0.2756,0.4219,0.4282,0.0605,0.0878,0.0001,0.0013,0.0002,0.7117,0.2163,0.072
UR,36703,0.2004,0.5916,0.2079,0.5106,0.4894,0.8742,0.1258,0.4288,0.4627,0.054,0.0533,0.0002,0.0009,0.0001,0.6173,0.2686,0.1141
VD,805098,0.219,0.6153,0.1657,0.4909,0.5091,0.67,0.33,0.4717,0.3949,0.0424,0.0881,0.0001,0.0025,0.0004,0.6171,0.2792,0.1037
VS,345525,0.1962,0.6046,0.1992,0.4956,0.5044,0.7742,0.2258,0.4294,0.4295,0.0534,0.0861,0.0001,0.0013,0.0002,0.5485,0.2405,0.211
ZG,127642,0.2029,0.6241,0.173,0.5061,0.4939,0.7167,0.2833,0.4373,0.4437,0.039,0.0777,0.0001,0.0019,0.0002,0.9177,0.0823,0.0
ZH,1539275,0.1976,0.632,0.1705,0.4981,0.5019,0.7292,0.2708,0.467,0.4022,0.0406,0.0861,0.0001,0.0034,0.0005,0.7733,0.2201,0.0066
CH,8606033,0.1995,0.6139,0.1866,0.496,0.504,0.7472,0.2528,0.4466,0.4182,0.047,0.0856,0.0001,0.0021,0.0003,0.63,0.2179,0.1521
