region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,0.0791,0.0799,0.08,0.0751,0.0802,0.078,0.0792,0.0787,0.0759,0.0839,0.0744,0.0747,0.0527,0.0581,0.0615,0.0686,0.1105,0.0776
AI,0.0019,0.002,0.0018,0.0019,0.002,0.0018,0.0022,0.0009,0.0019,0.002,0.0021,0.0012,0.0017,0.0006,0.0015,0.0,0.0,0.0125
AR,0.0065,0.0066,0.0064,0.0068,0.0066,0.0064,0.0073,0.0042,0.0062,0.0067,0.007,0.0066,0.0034,0.0047,0.0035,0.003,0.0143,0.01
BE,0.1215,0.1155,0.119,0.1367,0.1203,0.1228,0.136,0.0784,0.1192,0.1219,0.1378,0.1231,0.0969,0.1032,0.1289,0.1013,0.1234,0.2026
BL,0.0338,0.0324,0.0324,0.0401,0.0335,0.0342,0.035,0.0304,0.0308,0.0366,0.0385,0.0336,0.017,0.038,0.0265,0.0366,0.0457,0.0054
BS,0.0229,0.0195,0.0233,0.025,0.0223,0.0234,0.0195,0.0328,0.0246,0.0199,0.0261,0.0264,0.0391,0.0415,0.033,0.0363,0.0,0.0
FR,0.0371,0.0416,0.0373,0.0315,0.0375,0.0367,0.0384,0.0334,0.0383,0.0368,0.0332,0.035,0.051,0.0248,0.0215,0.0194,0.0715,0.0611
GE,0.0584,0.0615,0.0591,0.0524,0.0571,0.0596,0.0467,0.0934,0.0622,0.0535,0.0501,0.0664,0.1207,0.0848,0.095,0.0845,0.0239,0.0
GL,0.0048,0.0046,0.0047,0.0051,0.0049,0.0047,0.0048,0.0046,0.0045,0.005,0.0057,0.0046,0.0034,0.0024,0.003,0.0058,0.0,0.0074
GR,0.0233,0.0211,0.0231,0.0267,0.0235,0.0231,0.0253,0.0174,0.0223,0.0244,0.0264,0.022,0.0204,0.0108,0.0085,0.012,0.0131,0.0846
JU,0.0086,0.0091,0.0082,0.0097,0.0086,0.0087,0.0098,0.0051,0.0084,0.0086,0.0111,0.0086,0.0153,0.0047,0.0045,0.0047,0.0076,0.0265
LU,0.0479,0.0487,0.0483,0.0456,0.0481,0.0477,0.0521,0.0353,0.0494,0.0485,0.046,0.0388,0.0391,0.036,0.0255,0.0399,0.0248,0.1141
NE,0.021,0.0223,0.0204,0.0216,0.0207,0.0212,0.0209,0.0212,0.021,0.0198,0.0239,0.0257,0.0238,0.0129,0.016,0.0195,0.0302,0.0139
NW,0.0051,0.0046,0.0051,0.0055,0.0052,0.0049,0.0058,0.0029,0.005,0.0053,0.0049,0.0046,0.0068,0.0025,0.0015,0.003,0.0031,0.0164
OW,0.0044,0.0045,0.0044,0.0044,0.0045,0.0043,0.005,0.0026,0.0044,0.0047,0.0044,0.0035,0.0017,0.002,0.0005,0.0019,0.0,0.0211
SH,0.0096,0.009,0.0094,0.011,0.0096,0.0096,0.0095,0.01,0.0089,0.0101,0.0113,0.01,0.0034,0.0084,0.0055,0.0088,0.0142,0.0064
SG,0.0595,0.0612,0.0592,0.0585,0.0601,0.0589,0.0604,0.0569,0.0582,0.0615,0.0598,0.0568,0.0425,0.0355,0.023,0.0655,0.0357,0.0685
SO,0.032,0.0305,0.0319,0.0338,0.0322,0.0318,0.0332,0.0285,0.0302,0.0333,0.0351,0.0334,0.0221,0.0242,0.022,0.0307,0.0378,0.0292
SZ,0.0185,0.0181,0.0189,0.0177,0.0192,0.0179,0.0195,0.0156,0.0182,0.0194,0.0172,0.0172,0.0085,0.0126,0.007,0.0179,0.0181,0.0219
TG,0.0323,0.0328,0.0326,0.0305,0.0328,0.0318,0.0324,0.0318,0.0309,0.0339,0.0306,0.0325,0.017,0.0212,0.0175,0.0238,0.0308,0.0696
TI,0.0417,0.0381,0.0401,0.0509,0.041,0.0424,0.0401,0.0464,0.0394,0.0428,0.0527,0.042,0.0697,0.0248,0.0215,0.0472,0.041,0.02
UR,0.0043,0.0043,0.0041,0.0047,0.0044,0.0042,0.005,0.0021,0.0041,0.0047,0.0049,0.0026,0.0119,0.0019,0.0025,0.0042,0.0053,0.0032
VD,0.0935,0.1026,0.0934,0.0837,0.0926,0.0944,0.0829,0.1251,0.0981,0.089,0.0847,0.0964,0.0969,0.1087,0.1079,0.092,0.1185,0.0639
VS,0.0402,0.0399,0.0397,0.0426,0.0402,0.0403,0.0414,0.0369,0.0387,0.0415,0.0451,0.0395,0.0595,0.023,0.026,0.0351,0.0439,0.0563
ZG,0.0148,0.0149,0.0151,0.0135,0.0151,0.0145,0.0142,0.0165,0.0146,0.0156,0.0119,0.0133,0.0221,0.0137,0.009,0.0216,0.0056,0.0
ZH,0.1773,0.1746,0.1819,0.1647,0.1779,0.1767,0.1733,0.1892,0.1846,0.1707,0.155,0.1815,0.1531,0.299,0.3273,0.217,0.1812,0.0079
CH,8484130.0,1700494.0,5233271.0,1550365.0,4206434.0,4277696.0,6357738.0,2126392.0,3755372.0,3592368.0,406117.0,711025.0,588.0,16435.0,2001.0,5339043.0,1852223.0,1292864.0
