region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,0.0797,0.0808,0.0803,0.0766,0.0808,0.0786,0.0797,0.0798,0.0762,0.0848,0.0754,0.0759,0.0537,0.0591,0.0564,0.0692,0.1111,0.0784
AI,0.0019,0.002,0.0018,0.002,0.0019,0.0018,0.0022,0.0008,0.0019,0.002,0.0021,0.0013,0.0017,0.0007,0.0004,0.0,0.0,0.0123
AR,0.0064,0.0065,0.0063,0.0069,0.0065,0.0063,0.0072,0.0042,0.0062,0.0067,0.0069,0.0065,0.0017,0.0045,0.0031,0.0029,0.0142,0.0099
BE,0.1208,0.1152,0.1179,0.1363,0.1195,0.122,0.1349,0.0792,0.1184,0.1213,0.1365,0.1225,0.0839,0.1025,0.1201,0.1007,0.123,0.2006
BL,0.0336,0.0323,0.0321,0.04,0.0332,0.034,0.0346,0.0307,0.0305,0.0364,0.0389,0.0334,0.0168,0.038,0.0284,0.0363,0.0457,0.0052
BS,0.0228,0.0198,0.0233,0.0241,0.0223,0.0233,0.0193,0.033,0.0246,0.0198,0.0252,0.0259,0.0403,0.0412,0.0315,0.0361,0.0,0.0
FR,0.0374,0.0416,0.0377,0.0321,0.0378,0.037,0.0386,0.0338,0.0385,0.037,0.0335,0.0357,0.0352,0.0263,0.0238,0.0194,0.0722,0.062
GE,0.0586,0.0618,0.0597,0.0515,0.0572,0.0599,0.0471,0.0926,0.0629,0.0532,0.0501,0.066,0.1409,0.0856,0.0906,0.0848,0.0237,0.0
GL,0.0047,0.0045,0.0046,0.0051,0.0048,0.0046,0.0048,0.0045,0.0044,0.005,0.0057,0.0046,0.005,0.0028,0.0019,0.0057,0.0,0.0072
GR,0.0231,0.0206,0.0228,0.0269,0.0234,0.0229,0.0251,0.0172,0.022,0.0242,0.0265,0.0223,0.0252,0.0121,0.0104,0.0119,0.0132,0.0838
JU,0.0086,0.0089,0.0081,0.0098,0.0085,0.0086,0.0098,0.005,0.0083,0.0084,0.0112,0.0088,0.0168,0.0046,0.0042,0.0046,0.0079,0.026
LU,0.048,0.0488,0.0484,0.0459,0.0483,0.0478,0.0522,0.0357,0.0491,0.0488,0.046,0.0394,0.0403,0.0374,0.0292,0.0401,0.0249,0.1141
NE,0.0205,0.0215,0.02,0.0212,0.0203,0.0208,0.0205,0.0205,0.0206,0.0191,0.0235,0.0252,0.0218,0.0125,0.0153,0.0189,0.0279,0.0164
NW,0.005,0.0045,0.005,0.0056,0.0052,0.0048,0.0057,0.0029,0.0048,0.0053,0.005,0.0047,0.005,0.0024,0.0015,0.0029,0.0031,0.0163
OW,0.0044,0.0044,0.0044,0.0046,0.0045,0.0043,0.005,0.0026,0.0043,0.0047,0.0045,0.0034,0.0034,0.0021,0.0008,0.0019,0.0,0.021
SG,0.0593,0.0609,0.059,0.0589,0.06,0.0587,0.06,0.0574,0.0576,0.0618,0.0602,0.0568,0.0487,0.0353,0.0272,0.0653,0.0358,0.0685
SH,0.0096,0.009,0.0093,0.011,0.0096,0.0096,0.0095,0.0099,0.0088,0.0101,0.0113,0.0099,0.0017,0.008,0.0065,0.0087,0.0143,0.0065
SO,0.032,0.0305,0.0318,0.0341,0.0322,0.0317,0.033,0.029,0.0301,0.0334,0.035,0.0333,0.0252,0.0243,0.0265,0.0306,0.0376,0.0296
SZ,0.0186,0.018,0.019,0.0181,0.0193,0.018,0.0195,0.0161,0.0181,0.0196,0.0174,0.0175,0.0101,0.0141,0.0123,0.018,0.0182,0.022
TG,0.0325,0.033,0.0327,0.0312,0.033,0.032,0.0325,0.0323,0.0309,0.0344,0.0309,0.0326,0.0201,0.0214,0.0184,0.0239,0.0309,0.0704
TI,0.0408,0.0368,0.0393,0.0503,0.0401,0.0416,0.0396,0.0445,0.0386,0.0418,0.0526,0.0419,0.0688,0.0254,0.0215,0.0461,0.0405,0.0193
UR,0.0043,0.0043,0.0041,0.0048,0.0044,0.0041,0.005,0.0021,0.0041,0.0047,0.0049,0.0027,0.0101,0.0018,0.0019,0.0042,0.0053,0.0032
VD,0.0936,0.1027,0.0938,0.0831,0.0926,0.0945,0.0839,0.1221,0.0988,0.0883,0.0843,0.0962,0.1057,0.1096,0.1086,0.0916,0.1199,0.0638
VS,0.0401,0.0395,0.0395,0.0429,0.0401,0.0402,0.0416,0.0359,0.0386,0.0412,0.0456,0.0404,0.0537,0.0239,0.0265,0.035,0.0443,0.0557
ZG,0.0148,0.0151,0.0151,0.0137,0.0151,0.0145,0.0142,0.0166,0.0145,0.0157,0.0123,0.0135,0.0218,0.0133,0.0111,0.0216,0.0056,0.0
ZH,0.1789,0.1771,0.1841,0.1634,0.1796,0.1781,0.1746,0.1916,0.187,0.172,0.1546,0.1797,0.1426,0.2909,0.3219,0.2195,0.1807,0.0078
CH,8606033.0,1717198.0,5283035.0,1605800.0,4268863.0,4337170.0,6430658.0,2175375.0,3843439.0,3599225.0,404591.0,737094.0,596.0,18231.0,2606.0,5422227.0,1874960.0,1308846.0
