region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,670988,135945,418619,116424,337178,333810,503709,167279,285025,301472,30228,53141,31,955,123,366041,204615,100332
AI,16105,3479,9613,3013,8290,7815,14271,1834,7319,7029,855,887,1,10,3,0,0,16105
AR,55178,11150,33438,10590,27879,27299,46181,8997,23452,24134,2844,4661,2,78,7,15780,26482,12916
BE,1031126,196464,622668,211994,505911,525215,864345,166781,447669,437969,55951,87498,57,1696,258,540715,228540,261871
BL,287023,55109,169687,62227,140771,146252,222343,64680,115488,131317,15650,23879,10,624,53,195457,84629,6937
BS,193908,33117,122052,38739,93723,100185,124147,69761,92283,71463,10613,18774,23,682,66,193908,0,0
FR,315074,70790,195404,48880,157874,157200,244143,70931,143931,132264,13480,24910,30,408,43,103666,132449,78959
GE,495249,104604,309359,81286,240114,255135,296675,198574,233719,192268,20355,47242,71,1394,190,451065,44184,0
GL,40349,7761,24631,7957,20423,19926,30636,9713,16800,17940,2318,3243,2,40,6,30768,0,9581
GR,197888,35900,120638,41350,99050,98838,160985,36903,83843,87490,10729,15615,12,177,17,64286,24278,109324
JU,73290,15547,42657,15086,36280,37010,62519,10771,31641,30897,4527,6128,9,78,9,25018,14044,34228
LU,406506,82868,252896,70742,202534,203972,331512,74994,185365,174163,18682,27623,23,591,51,213163,45846,147497
NE,177964,37939,106567,33458,87093,90871,132811,45153,78725,71046,9692,18242,14,212,32,103991,56005,17968
NW,42969,7868,26620,8481,22006,20963,36712,6257,18592,19055,1979,3293,4,41,3,16038,5715,21216
OW,37575,7622,23079,6874,19030,18545,32056,5519,16589,16719,1770,2462,1,33,1,10236,0,27339
SH,81351,15302,48973,17076,40251,41100,60185,21166,33340,36151,4598,7111,2,138,11,46786,26260,8305
SG,504686,104151,309810,90725,252710,251976,383755,120931,218391,220999,24270,40353,25,583,46,349971,66182,88533
SO,271432,51786,167169,52477,135497,135935,210812,60620,113401,119540,14256,23766,13,398,44,163697,70005,37730
SZ,157301,30745,99111,27445,80618,76683,124130,33171,68164,69693,6999,12216,5,207,14,95518,33446,28337
TG,273801,55725,170831,47245,137823,135978,206118,67683,115956,121914,12416,23119,10,348,35,126811,56985,90005
TI,353709,64769,210041,78899,172505,181204,255122,98587,148100,153870,21396,29849,41,408,43,251864,76000,25845
UR,36299,7359,21656,7284,18522,17777,31928,4371,15541,16869,1991,1855,7,31,5,22323,9795,4181
VD,793129,174446,488905,129778,389504,403625,527117,266012,368315,319792,34382,68554,57,1786,216,491022,219482,82625
VS,341463,67825,207639,65999,169162,172301,263082,78381,145510,149095,18326,28051,35,378,52,187341,81289,72833
ZG,125421,25369,79087,20965,63410,62011,90430,34991,54968,55876,4848,9471,13,225,18,115060,10361,0
ZH,1504346,296854,952121,255371,748276,756070,1102014,402332,693245,613343,62962,129082,90,4914,655,1158518,335631,10197
CH,8484130,1700494,5233271,1550365,4206434,4277696,6357738,2126392,3755372,3592368,406117,711025,588,16435,2001,5339043,1852223,1292864
