region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,685845,138809,424024,123012,344733,341112,512350,173495,292903,305201,30525,55944,32,1077,147,374960,208262,102623
AI,16128,3405,9566,3157,8303,7825,14312,1816,7285,7025,853,951,1,12,1,0,0,16128
AR,55445,11198,33195,11052,27938,27507,46319,9126,23639,24162,2774,4779,1,82,8,15763,26713,12969
BE,1039474,197741,622788,218945,510170,529304,867188,172286,455044,436650,55218,90309,50,1869,313,546207,230693,262574
BL,289468,55458,169810,64200,141890,147578,222615,66853,117224,131112,15749,24605,10,692,74,196919,85694,6855
BS,195844,33969,123115,38760,94997,100847,124085,71759,94518,71139,10209,19115,24,752,82,195844,0,0
FR,321783,71380,198907,51496,161153,160630,248327,73456,148134,133187,13546,26342,21,479,62,105150,135458,81175
GE,504128,106077,315296,82755,244184,259944,302692,201436,241686,191654,20266,48630,84,1561,236,459600,44528,0
GL,40590,7791,24537,8262,20546,20044,30765,9825,16950,17927,2295,3359,3,51,5,31137,0,9453
GR,199021,35381,120467,43173,99707,99314,161639,37382,84525,87117,10709,16403,15,221,27,64720,24666,109635
JU,73584,15317,42605,15662,36400,37184,62749,10835,32081,30388,4539,6470,10,84,11,24797,14742,34045
LU,413120,83814,255571,73735,205976,207144,335508,77612,188877,175800,18629,29020,24,682,76,217191,46639,149290
NE,176496,36989,105527,33980,86495,90001,131913,44583,79300,68834,9493,18588,13,228,40,102675,52364,21457
NW,43087,7798,26281,9008,22053,21034,36719,6368,18562,18953,2021,3498,3,44,4,15992,5776,21319
OW,37930,7590,23018,7322,19158,18772,32361,5569,16648,16906,1803,2529,2,39,2,10458,0,27472
SG,510734,104584,311506,94644,256039,254695,385916,124818,221464,222293,24356,41843,29,644,71,354003,67039,89692
SH,82348,15403,49301,17644,40768,41580,60891,21457,33798,36511,4567,7308,1,146,17,47071,26831,8446
SO,275247,52352,168215,54680,137659,137588,212104,63143,115759,120186,14173,24580,15,443,69,166058,70477,38712
SZ,160480,30944,100405,29131,82213,78267,125367,35113,69530,70689,7055,12907,6,257,32,97586,34089,28805
TG,279547,56613,172783,50151,140885,138662,209234,70313,118600,123946,12503,24044,12,391,48,129418,57984,92145
TI,351491,63125,207648,80718,171141,180350,254633,96858,148299,150508,21273,30848,41,463,56,250146,76025,25320
UR,36703,7357,21715,7631,18739,17964,32084,4619,15739,16983,1982,1955,6,33,5,22656,9859,4188
VD,805098,176324,495399,133375,395189,409909,539414,265684,379802,317927,34103,70898,63,1998,283,496862,224782,83454
VS,345525,67783,208907,68835,171254,174271,267503,78022,148368,148410,18435,29759,32,436,69,189532,83083,72910
ZG,127642,25901,79665,22076,64594,63048,91475,36167,55820,56635,4980,9919,13,243,29,117143,10499,0
ZH,1539275,304095,972784,262396,766679,772596,1122495,416780,718884,619082,62535,132491,85,5304,839,1190339,338757,10179
CH,8606033,1717198,5283035,1605800,4268863,4337170,6430658,2175375,3843439,3599225,404591,737094,596,18231,2606,5422227,1874960,1308846
