region,total,age0_19,age20_64,age65plus,sexMale,sexFemale,citizenSwiss,citizenForeign,maritalSingle,maritalMarried,maritalWidowed,maritalDivorced,maritalUnmarried,martialRegistredPartnership,maritalDisolvedPartnership,typoUrbanCore,typoUrbanCoreInfluence,typoNoUrbanCoreInfluence
AG,694072,140443,427461,126168,348814,345258,517015,177057,298014,306795,30659,57257,33,1125,168,380756,209519,103797
AI,16293,3414,9621,3258,8361,7932,14420,1873,7396,7039,849,1001,1,5,2,0,0,16293
AR,55309,11163,32940,11206,27883,27426,46135,9174,23560,24002,2765,4882,1,87,12,15649,26711,12949
BE,1043132,198135,622565,222432,512300,530832,869681,173451,459553,434188,54891,92148,55,1922,355,548169,231971,262992
BL,290969,55753,170100,65116,142767,148202,222404,68565,118581,130683,15809,25080,11,726,77,197713,86359,6897
BS,196735,34218,123788,38729,95621,101114,124151,72584,96080,70666,9966,19112,21,791,95,196735,0,0
FR,325496,71566,201329,52601,162985,162511,250287,75209,151140,132998,13544,27196,26,515,64,105813,137812,81871
GE,506343,106488,316942,82913,245320,261023,302731,203612,245681,189267,20153,49239,91,1606,291,461388,44955,0
GL,40851,7821,24610,8420,20625,20226,30753,10098,17182,17884,2283,3443,2,50,7,31371,0,9480
GR,200096,35161,120785,44150,100289,99807,161989,38107,85157,87156,10715,16788,13,234,30,65578,24325,110193
JU,73709,15243,42660,15806,36474,37235,62740,10969,32409,30051,4454,6689,10,83,13,24742,14796,34171
LU,416347,84267,256790,75290,207582,208765,337132,79215,191095,175836,18746,29842,25,693,98,218741,47404,150202
NE,175894,36481,105285,34128,86184,89710,131671,44223,79901,67413,9456,18822,13,246,43,101854,52618,21422
NW,43520,7863,26388,9269,22298,21222,36996,6524,18745,19047,2048,3620,2,48,5,15978,5863,21679
OW,38108,7589,23034,7485,19268,18840,32475,5633,16708,16949,1808,2592,2,45,3,10514,0,27594
SG,514504,105183,313333,95988,258108,256396,387398,127106,224463,222302,24223,42706,27,678,74,356434,67446,90624
SH,83107,15515,49632,17960,41162,41945,61267,21840,34219,36690,4538,7485,1,151,22,47419,27219,8469
SO,277462,52851,168974,55637,138626,138836,212535,64927,117216,120496,14082,25090,14,466,75,167217,71077,39168
SZ,162157,31099,101197,29861,83109,79048,126227,35930,70456,70988,7144,13244,10,276,36,98652,34560,28945
TG,282909,57168,174019,51722,142527,140382,210840,72069,120365,124794,12618,24644,12,424,52,130904,58881,93124
TI,350986,62537,207438,81011,170830,180156,254109,96877,149783,148017,21222,31365,41,482,74,249664,75773,25549
UR,36819,7315,21739,7765,18768,18051,32073,4746,15821,16962,1965,2025,6,35,5,22675,9870,4274
VD,814762,178201,502049,134512,400217,414545,544045,270717,390456,315488,33856,72495,74,2046,322,502562,227934,84266
VS,348503,67768,210723,70012,172955,175548,268980,79523,150781,147805,18447,30828,32,514,80,190528,84332,73643
ZG,128794,25990,80234,22570,65227,63567,91736,37058,56495,56900,4998,10097,13,257,31,118194,10600,0
ZH,1553423,307069,980693,265661,774299,779124,1129722,423701,732076,618478,62232,134045,81,5517,947,1200621,342561,10241
CH,8670300,1726301,5314329,1629670,4302599,4367701,6459512,2210788,3903333,3588894,403471,751735,617,19022,2981,5459871,1892586,1317843
