region,numberExploitationTotal,numberExploitationPercentMain,employmentTotal,employmentPercentFullTime,surfaceTotal,surfaceOpenLand,surfaceGrassland,surfaceByExploitation,surfaceByMainExploitation
AG,3256,60,9988,40,59991,44,53,18,25
AI,465,77,1018,48,7160,0,97,15,18
AR,709,73,1637,47,11945,0,98,17,21
BE,10561,74,31616,42,192259,25,74,18,21
BL,902,70,2941,40,21393,26,71,24,30
BS,13,85,48,63,429,29,67,33,38
FR,2840,80,8470,57,75516,31,67,27,31
GE,382,72,1811,62,11249,61,24,29,37
GL,370,72,947,44,6890,1,98,19,22
GR,2318,72,6395,41,55768,4,94,24,29
JU,1021,81,2873,53,40423,26,72,40,45
LU,4601,72,13184,43,75882,19,79,16,19
NE,807,82,2277,60,31518,14,84,39,45
NW,434,73,1169,37,5951,0,98,14,16
OW,625,71,1588,38,7787,0,98,12,15
SG,3993,76,10623,47,71285,7,89,18,21
SH,572,67,1770,40,15694,64,32,27,36
SO,1358,68,3963,43,31504,33,66,23,29
SZ,1581,70,4207,38,23613,2,92,15,18
TG,2569,78,8262,50,49403,36,59,19,22
TI,1098,54,2972,44,13945,9,82,13,19
UR,569,58,1385,31,6736,0,99,12,15
VD,3628,80,12653,52,108350,51,44,30,35
VS,2956,47,9583,32,37341,6,77,13,20
ZG,560,75,1762,42,10671,13,79,19,22
ZH,3432,66,10722,45,73407,39,56,21,27
CH,51620,71,153864,44,1046109,26,70,20,25
