region,numberExploitationTotal,numberExploitationPercentMain,employmentTotal,employmentPercentFullTime,surfaceTotal,surfaceOpenLand,surfaceGrassland,surfaceByExploitation,surfaceByMainExploitation
AG,3132,61,9310,42,60101,44,53,19,26
AI,446,79,976,49,7122,0,96,16,18
AR,690,74,1585,47,11869,0,98,17,21
BE,10254,73,30685,41,191882,25,74,19,22
BL,907,69,2883,41,21415,26,71,24,29
BS,12,92,59,54,422,27,70,35,38
FR,2726,80,8404,57,74966,31,67,28,32
GE,387,73,1990,61,11262,60,24,29,36
GL,355,74,917,44,6942,1,97,20,23
GR,2250,72,6338,40,56177,4,95,25,30
JU,1016,81,2855,52,40630,26,72,40,46
LU,4494,72,12930,43,75644,19,79,17,20
NE,776,84,2225,61,31406,13,84,40,46
NW,421,74,1099,40,5929,0,98,14,16
OW,609,72,1499,39,7793,0,98,13,15
SG,3904,75,10083,48,71230,7,89,18,22
SH,534,70,1659,40,15872,64,32,30,39
SO,1337,67,3925,42,31430,33,66,24,30
SZ,1539,70,3994,39,23692,2,92,15,19
TG,2531,77,8390,50,49422,36,59,20,23
TI,1081,52,2999,44,13943,9,82,13,20
UR,546,57,1317,29,6759,0,99,12,16
VD,3617,77,12753,51,108537,50,45,30,36
VS,2667,51,9325,32,36134,6,77,14,20
ZG,549,73,1695,41,10639,14,78,19,23
ZH,3258,68,10238,47,72507,39,56,22,28
CH,50038,71,150133,45,1043729,26,70,21,26
