region,numberExploitationTotal,numberExploitationPercentMain,employmentTotal,employmentPercentFullTime,surfaceTotal,surfaceOpenLand,surfaceGrassland,surfaceByExploitation,surfaceByMainExploitation
AG,3337,60,9850,40,60321,44,53,18,25
AI,469,78,1046,49,7152,0,97,15,18
AR,715,74,1604,48,11892,0,98,17,20
BE,10684,74,31866,41,191965,25,74,18,21
BL,911,69,3044,40,21647,26,71,24,30
BS,13,85,50,60,431,32,65,33,39
FR,2866,80,8524,57,75642,31,68,26,31
GE,389,70,1713,62,11227,61,24,29,37
GL,372,73,944,43,6866,1,98,18,22
GR,2365,72,6369,41,55954,4,94,24,28
JU,1021,82,2888,54,40461,26,72,40,45
LU,4652,74,13433,43,76213,19,79,16,19
NE,828,82,2261,61,31824,13,84,38,45
NW,444,71,1178,36,5959,0,98,13,15
OW,642,70,1588,39,7784,0,98,12,15
SG,4025,77,10624,48,71444,7,89,18,21
SH,576,67,1795,39,15645,64,32,27,36
SO,1364,68,3979,43,31501,33,66,23,29
SZ,1603,70,4200,38,24036,2,92,15,18
TG,2610,78,8288,51,49307,36,59,19,22
TI,1107,53,2812,44,14458,8,83,13,20
UR,575,59,1394,31,6743,0,99,12,15
VD,3618,82,12540,53,108985,51,44,30,34
VS,3015,46,9024,32,37490,6,77,12,20
ZG,569,74,1727,43,10622,13,79,19,22
ZH,3493,68,10618,47,73504,39,56,21,26
CH,52263,71,153359,45,1049072,26,70,20,25
