region,numberExploitationTotal,numberExploitationPercentMain,employmentTotal,employmentPercentFullTime,surfaceTotal,surfaceOpenLand,surfaceGrassland,surfaceByExploitation,surfaceByMainExploitation
AG,3206,60,9380,42,59998,45,52,19,26
AI,461,79,1002,48,7145,0,96,16,18
AR,699,73,1607,47,11855,0,98,17,21
BE,10396,74,31162,42,191878,25,73,18,22
BL,908,69,2869,42,21436,26,71,24,29
BS,13,85,53,55,424,31,66,33,38
FR,2762,81,8380,58,75033,32,67,27,32
GE,386,73,1945,63,11314,60,24,29,36
GL,365,72,943,43,6970,1,97,19,23
GR,2278,72,6361,41,56032,4,94,25,29
JU,1014,82,2863,53,40446,27,72,40,45
LU,4561,73,13131,43,75724,20,78,17,19
NE,796,83,2259,61,31525,13,84,40,45
NW,426,73,1137,38,5927,0,98,14,16
OW,614,72,1524,39,7797,0,98,13,15
SG,3950,77,10677,47,71404,7,89,18,21
SH,544,68,1747,39,15792,64,32,29,38
SO,1362,67,3971,42,31480,33,66,23,29
SZ,1558,71,4188,38,23659,2,92,15,18
TG,2559,78,8309,49,49456,36,58,19,23
TI,1092,55,2983,45,13719,9,81,13,19
UR,563,58,1394,29,6753,0,99,12,16
VD,3680,78,12832,52,108656,51,44,30,35
VS,2756,50,9550,32,36870,6,77,13,20
ZG,557,73,1735,41,10651,14,78,19,23
ZH,3346,67,10440,48,73034,39,56,22,28
CH,50852,71,152442,45,1044976,26,70,21,25
