region,equidsNumberExport
AG,46
AI,0
AR,0
BE,125
BL,0
BS,0
FR,63
GE,13
GL,0
GR,13
JU,116
LU,36
NE,0
NW,0
OW,0
SG,0
SH,0
SO,11
SZ,0
TG,23
TI,7
VD,158
VS,25
ZG,0
ZH,58
CH,1056
