region,equidsNumberExport
AG,37
AI,0
AR,0
BE,185
BL,0
BS,0
FL,0
FR,50
GE,26
GL,0
GR,7
JU,159
LU,19
NE,10
NW,0
OW,0
SG,0
SH,0
SO,17
SZ,0
TG,32
TI,0
VD,57
VS,19
ZG,0
ZH,84
CH,1049
