region,equidsNumberExport
AG,48
AI,0
AR,7
BE,156
BL,5
BS,0
FR,50
GE,0
GL,0
GR,0
JU,87
LU,36
NE,5
NW,0
OW,0
SG,10
SH,0
SO,34
SZ,0
TG,14
TI,0
VD,74
VS,0
ZG,0
ZH,61
CH,961
